,content,sentiment
32,"Ongkirnya mahal meskipun udah pakai gratis ongkir. Masa saya harus nambah Rp.11.800 sih, voucher juga cuman bisa pake 1, kita cuman pilih antara gratis ongkir atau cashback 1rb. Gak kayak dulu lagi!!! Makin lemot lagi app nya. Semoga kedepannya bisa gratis ongkir Rp. 0 dan bisa menggunakan voucher lain.",-1
33,Sulit belanja di tokopedia gk ada cod,-1
34,"Baru pertama kali mengunjungi tokopedia, saran saya lebih baik pindah e-commerce lain saja. Banyak fitur yang tidak berfungsi, promo ongkir dan diskon/cashback gabisa digabung. Ekspedisi gratis ongkir juga gabisa milih. Yang terbaik menurut sistem belum tentu terbaik buat pembeli yang baru pertama kali coba Tokopedia. Thanks, semoga jadi perbaikan kalo mau pengguna tetap stay.",-1
35,"Sekarang bayar pake gopay adminnya nambah jadi 2 ribu perpayment, kamahalan buat yg beli cuma satu-satu",-1
36,Saya gak suka membeli barang onlain bagus saya pilih sendiru,0
37,Barang,0
38,Cashback hilang dengan alasan karena dalam 1 rumah ada yang memiliki akun Tokopedia. Udah tau belanja sifatnya pribadi jadi ga tau kalo ada kesamaan pakai promo bisa banget ngejebaknya biar ga dapet cashback mana gede lagi cashbacknya 600 ribu lebih. Ga jelas banget aturannya,-1
39,"Hati hati belanja di tokopedia. Penjual bisa seenaknya bilang asli & baru, no minus, tidak ada cacat. Tetapi yg dikirim ternyata bukan asli & cacat Saat dikomplain keputusan ada di tangan penjual. Penjual berhak menolak komplain & menyatakan barang sudah sesuai pesanan. Bayangkan bila yg dijual emas batangan & berlian, penjual menyatakan asli tapi yg dikirim bukan asli? Tolong tokopedia pikirkan.",-1
40,"Untuk Solusi Kalm Transaksinya Sy akui Good Tokped, Tapi Sekarang Ada Tambahan Biaya layanan. Biaya Layanan lebih murah Marketplace Orange, Pembayaran COD sesuai saat cekout Orange, Tokped ada tambahan lagi jasa aplikasi. Sory Tokped Transaksi Pindah dulu. Klu tidak ada gebrakan promo tdk menguntungkan siap2x ditinggalkan seperti Marketplace Merah.",-1
41,Mantap...,1
42,Saya pelanggan setia tokopedia sangat keberatan karena ada nya biaya aplikasi dan biaya layanan. Jadi nya saya sudah tidak belanja lagi karena ada beberapa biaya yang tidak masuk akal menurut saya. Mohon maaf masukan ini terima kasih,-1
43,Sangat kecewa terhadap pelayanan tokopedia care yang lama sekali dalam menangani masalah dan bertele tele,-1
44,kadang produk nya ga sesuai pesanan kadang sesuai tolong lah kalo komplen bisa di tukar ini mah apa saja cuek anggapan nya ga sah... Banyak penipuan di aplikasi ini.... Kenapa kau biarkan saja gitu loh maksudnya apa ini aplikasi nya,-1
45,Bebas ongkir berkurang,0
46,Baik,1
47,Tokopedia Mengapa harus selalu UPDATE terus ngga seperti yg lain... di update mana harus hapus aplikasi lain lagi...,-1
48,"Sy ga suka ada biaya protek Yg ga pernah sy setujui,tapi terlampir pada tagihan waktu cekout",1
49,Terima kasih Tokopedia... transaksi selalu lancar....,0
50,Aku sekarang kapiten Mempunyai pedang panjang Kalo berjalan prok prok prok Aku seorang kapiten,-1
51,"secara keseluruhan oke, tp harus update2 :(",0
52,Biaya aplikasi biaya penanganan biaya e wallet biaya biaya biaya😂,-1
53,puji Tuhan terimakasih tokped telah membantu untuk prakerja,1
54,"Ini kenapa tiap mau di update selalu gagal.? Padahal pas mau buka apk ada permintaan suruh di update, kalau egk apk gk bisa dibuka, setiap di update di presentasi 80.an% selalu gagal.",1
55,makin beta,-1
56,Membantu cukup banyak transaksi yg bisa di lakukan,1
57,Minta d update tidak bisa...di hapus jg tidak bisa....taikkk lama2,-1
58,sangat membantu,1
59,Sekarang Tokopedia payah.. pesanan belum diterima..tapi di aplikasi sudah selesai..malas skrg pakai toped,-1
60,Gratis ongkir...tapi lama bangeeeeeeet!!!,0
61,"Tidak bisa diupdate,udah diulang beberapa kalipun ga bisa.",-1
62,Kurir makin lama makin lambat.. jabodetabek aja klo ga pake gosend paling cepet tiga hari... apalagi kalo pake jne bisa seminggu,-1
63,Payah..lama betul nyampenya skrg,-1
64,Kalo di teruskan Aplikasi seperti ini lama2 User akan tinggalkan Toped Soalnya saya rasa Aplikasi ini tidak seperti dulu lagi ada tambahan biaya Aplikasi dll. dan saya sarankan Agar Paylater di hapus saja semua.itu kendala orang malas pakai. Limit sudah kecil Tiba2 di turunkan tanpa pemberitahuan Padahal gk ada masalah dg Pembayaran seenaknya Aja .... Bikin bingung pemakai. kalo di teruskan kayak gini saya Yakin akan banyak User yg tinggalkan TOPED. Apalagi sekarang Banyak pilihan Toko Online .,-1
65,"Sedikit promo,ada biaya layanan mahal,maksa pula buat update aplikasi",-1
66,cepat dan terpercaya,1
67,"Semenjak Gopaycicilan Tidak ada entah kenapa masalanya,sudah malas bertransaksi klu TDK butuh amat, walaupun ada Gopaylaterbayar30 hr tersdia gak butuh sekali bagiku,karna aku lbh suka Gopaycicilan untuk bertransaksi apapun biar lebih sering, sprti shopeepaylater cicilan aku yg msh tersedia jd aku sering belanja diaplikasi SHOPEE terpercaya dari pada Tokopedia sekarang ini, promo tdk jelas No rekomendasi akan aku share ke grup untuk jgn bertransaksi di Gopay/Tokopedia noReal Giveawaynya juga👎",-1
68,toko pedia emang oke,1
69,Promo nya gak sesuai,-1
70,"Waduh, dulu Tokopedia gak masalah, saat mau update kok bermasalah, dan saat uninstall serta mau install skrg kok tdk bisa.",-1
71,Gratis ongkir mending kerjasama sama JNE atau J&T aja anteraja lemot banget,-1
72,Susah komplainya kayak pembeli yang salah,-1
73,"pembayaran lancar, ga ribet lg bolak balik atm..moga bs ttp lancar.",1
74,Parah mao belanja harus verifikasi ktp Gratis. Ongkir gak bisa pilih kurir Gratis ongkir ama kurir yang bermasalah Mao belanja jd tambah masalah,-1
75,Sangat tidak memuaskan,-1
76,"Tokopedia aplikasi belanja online paling bagus yg pernah saya pakei.belum pernah kecewa belanja di tokopedia mudah "" an gak pernah kecewa. Banyak pilihan barang nya peroses pembayaran nya mudah. Mudah bangi siapa saja gak ribet. Terimakasi saya pengguna tokopedia",1
77,Aplikasi dengan Promo yg menjebak,-1
78,untuk sekarang masih ok,0
79,sangat membantu dan dimudahkan dlam berbelanja. semoga kedepan bunganya bisa lebih dikit. hehe,1
80,"ada biaya jasa, biaya aplikasi makin mahal aja ini toko ijo",-1
81,"Maaf saya skrg sudah tdk pakai aplikasi ini lagi pdhl dlu ini apk kesayangan saya . skrg biaya.a lbh mahal smpe 3rb hnya utk penanganan, pdhl klo saya pesan brng g ada pelayanan yg lebih /spesial dr naiknya hrga sama aja ky wktu itu grtis jd apa guna.a biaya tsb Msh byk apk blnja online yg bner2 murah & grts ongkir",-1
82,Aplikasi ga jelas..minta update tp selalu gagal,-1
83,ongkirnya lbh mahal dr barang yg dibeli utk luar pulau. padahal tpt lain lbh murah,-1
84,di stasiun Bogor sinyal lambat sat transakasi online,-1
85,"Banyak embel""..biaya jasa aplikasi..biaya layanan...jadi nya mahal...",-1
86,pembayaran dengan sangat mudah,1
87,Lambat,-1
88,Sagat membantu tuk belanja...,1
89,Update tidak bisa,-1
90,"Aplikasi tokped saya bermasalah , lalu di instal ulang , dan saya sudah melakukan pembayaran tokopedia card sebelumnya, kenapa instalment baru semua transaksi recordnya hilang, seakan saya blm lakukan payment coba hub CFs ga bisa, coba di handling masalah seperti ini segera itu bukan uang sedikit loh",-1
91,Membantu sekali,1
92,"Gila sih biaya jasa aplikasi 2ribu, pembeli ya pada kabur ke toko biru (LAZ), Apalagi banyak voucher nya dan gratis ongkir pastinya.",-1
93,"Kukira semakin lama semakin bagus. Ternyata semakin lama semakin buruk aja, sekarang setiap transaksi ada biaya layanan dan biaya aplikasi. Bye bye tokped",-1
94,Min kenapa saya kesulitan meng update Tokopedia?,-1
95,Layanan lumayan memuaskan,1
96,membantu,1
97,"Tokopedia memang the best, kalau mau daganganya laku keras setiap menit, setiap hari, tolong di terapkan, voucher diskon toko, voucher cashback, voucher diskon Tokopedia dan harus free ongkir, pasti deh seluruh Indonesia pada cek out hanya di Tokopedia 💚💚💚",1
98,"Pelayanan lumayan bagus cuman ongkirnya makin hari makin naik, trus udah jarang dapat gratis ongkir padahal udah lama langganan sama aplikasi ini",-1
99,"cara penilaian tukar tambah hp itu terlalu memurahkan hp saya, itu membuat saya terlalu rugi hp harga 3juta keatas pemakaian 1 bulan di bayar 900k lawak...mulus gak lecet",-1
100,sangat membantu,1
101,puas,1
102,tampilan bagus tapi sangat disayangkan fitur tidak efisien dan tidak seringan toko orange ketika aplikasi berjalan,-1
103,Sangat Kecewa. Pengiriman sangat sangat lama.,-1
104,Kendala yg tidak menemukan solusi chat gak di bales.. komplain juga terkesan di abaikan .,-1
105,Minta update terus udah di update malah force close trs mnta update lagi. Apaan tuh,-1
106,Konfirmasi pesanan lambat,-1
107,"Parah banget.. Ngasih embel embel kupon diskon ini itu, pas checkout barang, pake kupon diskon, dan udah di bayar, eehhh di batalin sistem... Apa maksud nya itu.. Udh sering kaya gitu, niat ga si kasih promo diskon, udah ongkir nya mahal bnget, ga kaya di Shopee/tiktok, banyak gratisan nya, dan ga PHP.. Parah banget sumpah...",-1
108,Mantap,1
109,Not bad,0
110,App buruk mau belanja gampang malah di persulit.. Ganti no hp aja harus nunggu lama...,-1
111,sangat membantu,1
112,"Update : ini apk no 1 di indonesia untuk sewa aplikasi nya per transaksi. Penjual di potong dengan biaya layanan dan kategori belom fitur lainnya jika berlanggan.. Pembeli di kenakan biaya layanan dan Sewa apk. Kanan kiri masuk pak ekoo.. Terlalu gede sewa apk.nya untuk pembeli min..?? Apa masih kurang motong dari hasil penjualan seller..?? Bisa2 sepi pembeli Toped.. Ayo di kaji ulang biaya sewa apk.mu.. banyak keluhan tuh.! Pertahankan performa toped yg selama ini bagus, Masih ada yg lain lho.?",-1
113,Update terus ..,-1
114,Biaya jasa apk setiap transaksi belanja Rp2000.. biaya admin top up Rp2000.. 🤦‍♂️,-1
115,saya suka banget tokopedia,1
116,kurang cepat,-1
117,Pertama buka langusung gwratis,1
118,Sy member platinum. Biaya aplikasi 2rb dan kebijakan lain yg terus menurun. Jangan salahkan pelanggan toped yg perlahan2 akan beralih ke aplikasi sebelah. Coba pikir ulang karena ini jaman persaingan. Trm kasih,-1
119,"Jangan pernah belanja di Tokopedia, kalo ada kendala mereka ga tanggungjawab. Penjual banyak yg ga amanah.",-1
120,Buset kok banyak banget biaya nya pantes aja kalah saing sama oren item,-1
121,Sya perlu rel shimano orsinil jepang second dan harganya,0
122,"Pelapak sombong sombong, ditanya gak memberikan Informasi dgn jelas",-1
123,"Makin kesini ko tokopedia makin ga ada promo ya apalagi untuk pengguna baru beda sama aplikasi si oren masih ngadain promo untuk pengguna baru cuman hanya rp.1 , ada apakah dengan tokopedia ? Pengurusnya pada kmna ya ? Coba deh belajar mensejahterakan masyarakatnya supaya berkah, supaya makin di sayang sama masyarakatnya , makin kesini keliatan makin amuradul",-1
124,Loading lama dipembayaran dan membuat gagal pembelian.,-1
125,update susah,-1
126,"Kebanyakan biaya tambahan,,, aplikasi taiiii",-1
127,"Update terus, paksa aplikasi yang lain dihapus........",-1
128,"Penjual responnya kurang, jadi pembeli tidak nyaman.",-1
129,Sulit di update,-1
130,sangat membantu,1
131,"Bagus, sdh mulai terbiasa dgn interface aplikasinya, hanya saja sering mengalami kegagalan saat pembaharuan.",0
132,Tokopedia harus nya lebih care pada toko toko yang lama pengiriman.... Semua pasti yg dirugikan konsumen. Andelannya pengembalian dana. Yg dikembalikan harga barang. Ongkir dan biaya layanan entah kmn,-1
133,"yang masih sampah itu layanan Customer service, tanggapan resolusi lama, banding butuh waktu lama karena pihak Tokopedia slow respon. kasihan seller atau buyer rejeki nya terhenti gara2 kelakuan CS nya. biaya potongan power merchant jadi ugal2an terutama barang elektronik. edan!",-1
134,Ini di hp saya ga bisa diupdate,-1
135,Gratis ongkir aneh +tambahan jasa2 lainnya Cape deh Tak pinda k toko sebelah,-1
136,toko pedia emang mantap,1
137,bener bener Tokopedia mempermudah belanja online,1
138,Beli barang di toko Tokopedia pakek bayar di Indomaret sudah di pesan barangnya tidak di konfirmasi dan uangnya sudah di tarik ke rekening Bank Jatim tapi tidak masuk ke rekening 500k tidak banyak 😭,-1
139,bagus,1
140,Punya saya updatenya gagal trus,-1
141,Tokopedia memang josss...mantaps,1
142,Tidak bisa di update,-1
143,baik,1
144,belum lama pake tokopedia udah mengecewakan... cs robot semua...masalah tidak selesai... ketipu ongkir berbayar sameday dan next day.... aktual sampe ttep kaya regular... penipuan kelas kakap ini,-1
145,Sangat aneh dan konyol hampir tiap bulan aplikasi dimintai update sementara kualitas aplikasi tidak ada perubahan. Pemodohan!!!,-1
146,"Payah g bisa cod, pdhl sering beli hp di tokped dulu cod an",-1
147,"Benerin updatenya lah, app gak bisa di buka, minta di update gagal terus, kasihan ini yang jualan gak bisa selesai!",-1
148,sangat membantu,1
149,Sombong bet Tokopedia beda ma shoppe install apk lucky patcher aja suruh unins install mod menu ml suruh uninstall dah gitu suruh update maksa lagi 🤬,-1
150,Mantappp Untuk Tokopedia kalau bisa blanja dapat coin lagi dan promonya diadakan terus bagian pelanggan lama biar betah dan banyak... Utk aplikasinya sdh mantappp cuma kurir kalau wahana kadang2 tidak ada pemberitahuan sdh sampai dimana.... Untuk semuanya sdh bagus dan pertahankan Sukses Kedepan,1
151,apk belanja online terbaik yg pernah saya pakai,1
152,Tolong riwayat pesanan yang udah lama jangan dihapus dong. Tujuan saya beli online ya biar tahu detail riwayat pesanan saya yang udah lama. Jadi males pake tokped kalo gitu.,-1
153,Tinggal Ampas nya 🤣 Terlalu banyak biaya ini itu Fixs skrng jadi Marketplace SAMPAH ...!!!,-1
154,"Pas mau belanja tulisannya gratis ongkir 0 rupiah belanja 50rb... Uda semanget masukin keranjang, lah cuma kepotong 20rb.. Ealahhh entah siapa yang salah...",-1
155,"Makin kesini makin parah, di tambah biaya aplikasi 2rb dan biaya layanan 1rb mending aplikasi sebelah gratis biaya aplikasi, udh lama pakai tokped tpi lama kelamaan mengecewakan parah 👎👎👎👎👎",-1
156,Minta update terus dan akhirnya tdk bisa di instal...🙏,-1
157,Bagus untuk pengguna yg suka beli online kalau bisa adain gratis ongkir,1
158,Banyak promo 🥰,-1
159,Tolong perbaiki fitur tukar tambah karena hp yg pengen ditukar terlalu murah padahal beli Awal mahal malah dihargai murah nya gak ngotak untuk yang lainnya bagus saya b3 aja,-1
160,"Keluhanya di tanggepin sama Bot semua, kekurangan karyawan ya boss?",-1
161,"Apk buruk jangan mau jualan di sini . Penarikan dana ke rekeningnya lama Ampe 1 Minggu gk nyampe"" , padahal akun gk kena penalti apa"" .",-1
162,the best pokonya mah,1
163,"Kenapa aplikasinya tidak bisa di update ya, padahal storage juga masih banyak terus tiba tiba keluar sendiri mohon untuk diperbaiki developer nya.",-1
164,mantap dah. besto friendto,1
165,"Halo, kenapa saat saya mau melihat foto ulasan dri sebuah produk kok harus download ulang aplikasi ya, mohon bantuannya. Terimakasih.",-1
166,bagus buat blanja apa aja tinggal pesan di TOKOPEDIA..serba ada..tpi saran sy barang yg di pesan di toko jngan mengecewakan tokopedia.,-1
167,Semua udah bagus sih cuma mending hps aja deh ekpedisi pake kurir sicepat(Lemot) apaapan2 dari kemaren stuck di jakarta mulu EMANG SI LEMOT,-1
168,"Transaksi di batalkan otomatis mulu, padahal udh sampe ganti hp jg masih aja...",-1
169,"Tiap ada udpate apk gk bisa dibuka. Updatenya pemaksaan ini ,,h h h h h",-1
170,Semakin kesini bukannya tambah bagus malah tambah kurang bagus,-1
171,Setelah update transaksi jadi gagal sudah di transfer tapi status masih menunggu pembayaran upload foto juga tidak bisa,-1
172,Kenapa gak bisa buka toko pedia,-1
173,lebih mudah bisa ngasih tip ke driver lewat app ini... sukses selalu goto...,1
174,wahhhh.....ga nyangka....semudah itu byr PBB...cuma dalam hitungan menit selesai....ga ribet...ga hrs antri...ga hrs keluar rmh....👍👍,1
175,sangat bermanfaat,1
176,"Transaksi sebagai seller selalu ada aja masalahnya, Fee nya gede, transaksi sampai rugi 60k pun gak ada solusinya.",-1
177,memberi kemudahan dalam belanja,1
178,"semoga kali ini ga di batalin penjual nya ,tq",0
179,"Maksa bangat updatenya, klo ga update ga bs dipakai",-1
180,Tolong developernya.. Itu lacak paket tolong di sertakan nomor hp si kurirnya. Paket saya terdeteksi sudah tiba tapi tidak di lokasi sesuai keterangan. Kalah sama aplikasi sebelah !,-1
181,tetap jaga reputasi... Terima kasih ...,1
182,"Sekarang transaksi di Tokopedia jadi ada biaya transaksinya. Ditambah voucher ongkir dan cashback tidak dapat di pake bersamaan. Makin kesini makin mengecewakan. Ditambah pihak ekspedisi yang buruk, dari barang hilang, barang belum sampe tapi dibilang sudah diterima pembeli, dan yang paling sering pengiriman lambat. Dan sekarang ada tambahan lagi, jasa aplikasi... Wow makin kesini bener2 makin parah.",-1
183,Lebih jelas dan aman daripada Toko Sebelah,1
184,"Knp sih aplikasi hrs diupdate sgala, kan jadi ada aplikasi lain yg hrs dihapus.",0
185,"Tiap cek out nambah 3000,- biaya..biaya.. Tambah joss ae ped ped",-1
186,"CASHBACK MAKIN SULIT, GAK BISS GABUNG DG GRATIS ONGKIR LAGI, Biaya APALAGI TINGGAL DILUAR PULAU JAWA GRATIS ONGKIR SULIT, Waktu Pengiriman Makin Lelet, MAU BANGKRUT YA INI, CARI SOLUSI YG LEBIH BAIK LAH GK GINI CARANYA KALAU INGIN KONSUMEN PUAS, makin parah sekarang buat yg diluar pulau jawa gak ada kemudahan sama sekali.",-1
187,No coment... siip belanja di tokopedia.,0
188,Kebanyakan biaya ini itu nih tokped sudah banyak kritikan tp blm ada perubahan kasih masukan saja harus lewat ini itu mending lazada ngga banyak cingcong banyak bonus dan freong...,-1
189,lebih mudah dalam bertransaksi,1
190,"Awalnya saya senang dengan Tokopedia, karena barang kesukaan saya lengkap ada disini semua yaitu Hotwheels dan sejenisnya. Tapi setelah beberapa waktu kok gratis ongkirnya terbatas, ada biaya aplikasi 2rb, biaya layanan 1rb, belum biaya transfer dan biaya paylater, jadi wkt chekout malah jadi mahal barangnya, jujur skrg msh mending di Shoope, atau jujur aja di Lazada tanpa biaya2 apapun.",-1
191,Mantap dah pokok nya,1
192,"Bgus sihh cma trlalu bnyk biaya tambahannya. Gratis ongkirny jg gk smuanya. Terlalu bnyk biaya jasa, biaya app dsb",-1
193,"Udah berlangganan plus tapi masih saja kena biaya jasa aplikasi tiap transaksi, pengiriman juga tambah lama ja sekarang, jadi kaya percuma gak ada untungnya berlangganan plus tetap mahal karena ada biaya tambahan yang lain lain lagi.",-1
194,Tokopedia emang hebat🫰🫰,1
195,"Biaya Penanganan Aplikasi kenapa naik 2rb/transaksi,,,, dulu ge masih 1rb,,,",-1
196,Terima kasih suda banyak membantu atau mebudakan saya untuk berbelanja,1
197,Goto ( gojek tokopedia ) biaya layanannya gak masuk akal... Mending Pindah ke lazada dan grab enaknya,-1
198,"belibet,,, gue order barang dari tanggal 17 mei sampai 30 mei belum sampai sampai juga,,, perhatikan rekanan exspedisinya,, agar pelayanan lebih baik. Ternyata bintang 1 banyak,, ini ulah rekanan expedisi yang bikin kecewa",-1
199,Apaka samsung a51 tidak bisa melakukan tukar tambah. Padahal dulu bisa,-1
200,"Belakangan ini,toped sudah kurang bagus. Pesanan sering terlambat dan butuh waktu 7 hari untuk menunggu penyelesaian komplain",-1
201,Baik,1
202,"Harga jadi mahal, karena banyak biaya administrasinya",-1
203,Mantap,1
204,"Pesanan bisa dibatalkan secara sepihak oleh Tokopedia jika pembayaran pakai rekening yang sama dengan akun lain, katanya promo tidak bisa digunakan padahal promonya cuma 20rb, buat ongkir sama biaya transaksi",-1
205,"Prosesnya lama dan barang lebih mahal, gratis ongkir hanya abal2.. Banyak biaya lain2.. reguler bebas ongkir lebih lama proses nya di bandingkan yang ekonomi.. Makin parah saja tokopedia.. Penjual seenaknya saja Mengabaikan pembelian dari konsumen..",-1
206,"Gila aja udah ada biaya aplikasi 2rb,ditambah lg biaya layanan seribu??? Thn dpn ada biaya apalg? Makin parah aja skrg toped,mana promo jg udah ga ada🤦‍♂️pelit promo...",-1
207,Fitur tukar tambah nya gk bisa bisa,-1
208,Ok punya,1
209,Permisi mudah mudahan aplikasi ini bisa membatu saya untuk belanja barang2 yang saya ingin kan,1
210,baik,1
211,Sekarang gak ada WIB tokopedia pelit Apa sudah bangkrut yaaaa..... hahahaha,0
212,"Kecewa sama tokopedia, udah pembayaran CC mahal, Cashback yg dijanjikan tidak kunjung tiba, awal invoice ada jumlah cashback yg akan dj dapat, setelah barang sampai, cashback di invoice hilang, dan tidak kunjung masuk ke akun gopay cashbacknya, PAYAH, KECEWA SEBAGAI PELANG TOKOPEDIA",-1
213,Berbagai kebutuhan tersedia dengan mudah tinggal klik barang sudah datang sendiri,1
214,"Mau kredit HP aja ribet bener, udah pengajuan 2 kali pake home Credit malah dapat email di batalkan, tapi di aplikasi tokopedia nya menunggu konfirmasi, yg benar yg mna.. Padahal data saya bagus gak pernah nunggak.. Chet ke cs tokopedia pun slow respon..",-1
215,perbanyak lagi promo promo nya,1
216,Maaf kenapa jasa Apl malah nambah...trs utk blj 20k kok hanya berlaku wilayah tertentu .....biaya semakin mahal maaf kalau gk berlangganan lagi 🙏🙏🙏,-1
217,Mantap sih ni e-commerce. sat set dah pokoknya,1
218,Saya lupa pin verifikasi untuk masuk..disuruh pilih metode tapi tidak ada pilihannya..minta solusinya dong,-1
219,toped oh toped makin kesini makin kesana kek nya.. maaf ya di uninstal dulu,-1
220,Semenjak tidak adanya gratis ongkir minimal belanja 10rb & 20rb jadi males belanja ditambah lagi ada jasa aplikasi 2rb tiap check out.,-1
221,Udah mulai bad service,-1
222,Burik aman,-1
223,"Aplikasi gak bermutu topup gagal mulu, uang balik ke saldo refund, mau ditarik ke bank kena changer, 4x gagal mulu dahlahh",-1
224,Biaya jasa dan biaya aplikasi terlalu tinggi,-1
225,Tokopedia selalu jaya jaya,1
226,"Tolong kerjasamanya dengan pihak ekspedisi jangan pakai si cepat,kalau untuk orang usaha seperti saya jadi berantakan,tidak recommended ( terlalu lelet)",-1
227,barang tidak tersedia di android...👎👎👎,-1
228,Saya hanya memberikan bintang satu.. Seharusnya tidak sama sekali.. Dikarenakan gegara toktodpedia data saya malah bocor. Banyak no wa atau pesan biasa yang masuk tanpa dikenal.. Terimakasih,-1
229,"tolong dong seller jangan pakai ANTERAJA, pesanan saya sudah beberapa yang tidak sampai hingga saat ini sudah berminggu minggu, ini barang sudah urgent, mau pesan lagi juga takut nya jasa kirim nya lama juga jadi serba salah. tolong tokopedia di banned aja jasa kurir ANTERAJA sangat merugikan.",-1
230,jadi pembeli malah harga makin mahal,-1
231,"Cashback makin sedikit, gratis ongkirnya pelit, kebanyakan biaya jasa ini itu.. shopee aja jasa cuma 1000, msh masuk akal.. lah tokped 3000, uda kek bayar parkir mobil.. klo checkout di 2 atau 3 toko berbeda sekaligus, gratis ongkir cuma bs di 1 toko doank.. mending di shopee, mo checkout 10 toko berbeda sekaligus, gratis ongkirnya bs diterapin ke 10 tokonya.. tokopedia makin payah..",-1
232,"Apaan tiap belanja kena biaya 3k. sama aja kek parkir. Maruk lu sekarang, mending pindah marketplace",-1
233,"Terima kasih , Karna sudah menambah biaya jasa aplikasinya, bye T*L*LPEDIA",-1
234,Makin kesini makin mahal.Sekarang dibebani Biaya Aplikasi & biaya layanan belum lagi biaya bayar via retail.🤦🤦🤦,-1
235,Gajelas Tokopedia sekarang banyak penipu hehe raib uang saya 2jutaaaaaaaaaaaa,-1
236,Aplikasi belanja paling mantap,1
237,sangat bagus dan memuaskan,1
238,Mohon segera di perbaiki.,0
239,"baru nyoba, blum tau hasilnya",0
240,Pindah ke sebelah aja deh,-1
241,"Dah ga jadi andalan, kalah sama toko sebelah",-1
242,"Seharusnya voucher pulsa jangan utk yg belum pernah transaksi pulsa, tapi belum pernah menggunakan voucher pulsa. Gara2 lupa ngeklik pas beli pulsa jd gk dpt diskon. Udah gitu ngeselin vouchernya muncul terus setiap ada yg baru, padahal udah bbrp bulan pakai toped. KALAU VOUCHERNYA NGGAK BISA DIPAKAI JANGAN DIMUNCULIN TERUS!",-1
243,tokopedia kereeen bisa belanja lbh hemat,1
244,Aplikasinya kagak sebagus yang dulu lagi😢😑,-1
