content,Pelabelan,label
"Untuk fitur paylater nya membantuðŸ‘ Namun masih ada beberapa yg bisa ditingkatkan, seperti biaya ongkir, vocer diskon belanja / ongkir dan yang saya harapkan penambahan limit paylater bagi pengguna yang berhakðŸ‘Œ cocok tuh",negatif (-1),1
bagus ðŸ‘ðŸ‘ðŸ‘,positif (1),0
Gua kalo ga karna beli udud doang kaga mau dah belanja pake BL...,netral (0),2
Mantappppppp,positif (1),0
"Ini voucher diskon saya beli pakai dana, kok pas mau dipakai kuotanya sudah habis itu bagaimana? Diskonnya emang ga seberapa, tapi dana yg saya pakai buat beli tuh cukup untuk biaya makan 3 hari. Paling enggak balikin dana saya kalau emang vouchernya gak bisa dipakai",negatif (-1),1
Belanja gak rumit,positif (1),0
mantao,positif (1),0
"Orkirnya terlalu mahal, gak seimbang sama yg di beli,berani beli cuma klo gratis orkir doank,ðŸ¤¦",negatif (-1),1
Sangat membantu,positif (1),0
Mantap dong Bukalapak,positif (1),0
Gua heran sama seller seller aplikasi sebagus ini pada di tinggal.. Bukalapak itu menurut saya super bagus sayang pada ga tau dan ga paham sistem nya.. di tambah Bukalapak sistem bagus simpel dan banyak pilihan aturan nya ga ribet.. cuma ayo dong Bukalapak iklanin perusahaan besar kalian yang serius banyak hal dengan modal iklan minim perusahaan ini jadi mantap.. kalau mau aku iklanin kalau sampai perusahaan ini jadi unggul mau ga bayar aku dengan sesuai..,positif (1),0
Good job,positif (1),0
"Sudah sekian tahun pke ini apk, bru kli ini kecewa berat, serasa ditipu sma ini apk, saya beli barang menggunakan jasa pengiriman ekspres dgn estimasi barang sampai 2hari kerja, ini sudah hari ke tiga barang belum sampai, dan setelah tanya ke pihak ekspedisi, ternyata menggunakan jasa peniriman yg biasa, jdi bagaimana pihak bukalapak bertanggung jawab atas kerugian materi dan waktu saya?",negatif (-1),1
Ok,netral (0),2
"Setelah dibayar lunas,paylater tidak bisa dibuat untuk transaksi apapun...selalu dibatalkan otomatis!!! Berhari2 coba komplain ke cs Bukalapak tidak pernah tersambung,jawaban agen sibuk terus...!!! Jangan2 memang ga ada agen cs???!!!! PARAH...PAYAH...!!!!",negatif (-1),1
"Kecewa sih saya ngajuin permintaan daftar produk digital selalu ditolak, chat di ig juga gak direspon kecewa besar gak kaya toko oren gercep responnya",negatif (-1),1
"Gk pernah ada program free ongkir 1~1, 2~2, dst..",negatif (-1),1
Cari lebih mudah dan murah,positif (1),0
Susah untuk login. Apa ada maksimal login perhari nya ya?,negatif (-1),1
Ok Juga..,positif (1),0
Beli barang di BL lancar jayaðŸ‘ðŸ¼,positif (1),0
Klo bisa ada rekening bank muamalat,positif (1),0
Sangat bagus,positif (1),0
Pelayanan bertransaksi semakin muudah,positif (1),0
Oke,netral (0),2
mantap,positif (1),0
Apalah ini belum apa kasih password di suruh masukin password stress,negatif (-1),1
"Bagooozz ZooogaaaabðŸ‘†ðŸ».,.",positif (1),0
Goood,positif (1),0
Saya buka foto barang di jual keluar tulisan diatas Mohon sarannya sobat semua,positif (1),0
"Hati hati semuanya aplikasi bukalapak sudah jadi scam, ketika isi dana uang konsumen ditahan oleh aplikasi dengan alasan konsumen melakukan tindakan fraud dan buka dompet dibekukan tapi uang ditahan tidak dikembalikan.",negatif (-1),1
Good,positif (1),0
Mantap pokonya mah,positif (1),0
"Mantap aj bwt BL,,,",positif (1),0
joss lahh,positif (1),0
Tolong pengirimannya agak cepat,positif (1),0
"Bukalapak , coba building trust ke Calon Customer... Jgn hanya profit oriented saja utk bisnis retail onlinenya Sepi peminat utk bukalapak",negatif (-1),1
i like dan juara,positif (1),0
Lumayan baik,positif (1),0
Bukalapak sekali memenuhi kebutuhan konsumen Di setiap waktu,positif (1),0
Gratis ongkir nya mantap saya suka pake grab ada gratis ongkir nya ðŸ‘,positif (1),0
Cukup puas,positif (1),0
CEO is not customer sensitive,negatif (-1),1
"Tiap complen barang ,tidak sesuai,apa tidak di kirim,kurang barang,selalu tidak ada tindak lanjutnya,yang menang selalu pelapak,,tambah,,merosot pelayanananya ribet",negatif (-1),1
Waaw ternyata Bukalapak sangat membantu sekali yahðŸ˜ðŸ¤«,positif (1),0
Bagus untuk buka usaha,positif (1),0
Parah nih aplikasi tdk bs di login akun . pantesan jdi sepi pembeli,negatif (-1),1
"Setelah nunggu komplain yg sulit, akhirnya saya berkesimpulan untuk datang langsung ke kantor Bukalapak langsung, dan menemukan solusi dana retur dan Alhamdulillah sekarang aplikasi ini sudah saya uninstall",negatif (-1),1
"Barangnya bagus, kualitas jahitannya rapi banget.. ada hadiah pengharum lagi...Top..lah",positif (1),0
Mantapp suxes selalu,positif (1),0
Bagus buat usaha,positif (1),0
jozzz,positif (1),0
Mantul,positif (1),0
Sangat membantu,positif (1),0
Mantap Selernya amanah,positif (1),0
Paylater & sistem Cod tolong tuuuh perbaikilah,negatif (-1),1
Bagus dan cepat,positif (1),0
Toppppp,positif (1),0
Sangat bagus,positif (1),0
Mantap,positif (1),0
Agen tidak pernah merespon masalah.kecewa terhadap bukalapak ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž,negatif (-1),1
Bukalapak respon cpt dan amanðŸ‘ðŸ‘,positif (1),0
Mau pengajuan ke 3 malah ditolak padahal pembayaran lancar,negatif (-1),1
BAGUS SEKALI,positif (1),0
"Komplain seller karena barang yang di kirim tidak berfungsi,sudah lengkap persyaratan komplain di kirim namun pihak seller tidak merespon,dan akhirnya malah akun saya yg buat tidak bisa chat seller oleh pihak Bukalapak, pelapak seperti itu di dukung penuh oleh Bukalapak",negatif (-1),1
Barang sesuai pesanan & kualitas baik,positif (1),0
Is the best,positif (1),0
"Mantap dapat paylater ðŸ˜ Kalau bisa limit paylaternya ditambahin dan bisa dicicil dong, minimal tenor 3 bulan lah cicilan nya. SyukurÂ² kalau bisa 12 bulan. Limit 500rb mah masih kurang ðŸ˜",positif (1),0
Sangat membantu,positif (1),0
Beberapa hari ini lemot....muterÂ² untuk selesaikan transaksinya,negatif (-1),1
"akun saya tidak bisa masuk karena ganti nomor, kode konfirmasinya gak bisa langsung kirim ke gmailðŸ«¨",negatif (-1),1
Hati hati buat pelanggan baru ...Bintang 1 dulu ....sudah dri tgl 1 komplen kepda pelapak yg nipu uang belum kembali ...batal pesanan sulit amat gampang di shopee...BL terlalu membela penjul bukan pembeli ...sampesekarang belum jelas pengemblian...telp callsenter gag nyambung..butuh bantuan keteranga menunggu imel saja ... Gitu terus jbw ...tiap pagi saya chat butuh bantuan ...tp imel saya cek gag pernah ada ...cuma rekap percakapan ....,negatif (-1),1
Sangat membantu,positif (1),0
"Sudah tidak nyaman,tidak merasa aman untuk beli di bukalapak,selain dah mahal,ada banyak tambahan biaya yg di bebankan,mending kl barang yg di kirim bener,mending kl barang yang di kirim aman sampai tujuan,sudah ga jamannya beli online mungkin kali ya",negatif (-1),1
Pemilik akun yang namanya BANG JEFF itu penipu,negatif (-1),1
Sangat memudahkan saya untuk bertransaksi,positif (1),0
Susah mengajukan komplain...,negatif (-1),1
"Mau beli token ternyata otomatis tercontreng asuransi covid 10rb !! . Hampir ga kebaca (kebeli) gara2 gagal masukan kode voucer. Bukalapak jgn dong main otomatis masukan sesuai yg kami ga beli. Klo org buru2 transaksi pasti kebeli, pd gue ga butuh",negatif (-1),1
Makin berat aplikasinya sama iklan nya mengganggu,negatif (-1),1
"Lemot banget, mau nyari barang loadingnya lama, hadeww",negatif (-1),1
"Buka lapak taik, udah ditransfer tapi belum ada verivikasi pembayaran! Apa maksudnya taikk apk taikkkkkkk gimana gak ada respon live chat pun gak bisa apa maksudnya",negatif (-1),1
"Tolong tingkatkan live chat, sekarang fitur live chat susah / tidak bisa, sekali terhubung tiba tiba terputus dan susah masuk ke live chat lagi",negatif (-1),1
"Lah, masih ada yg mau pake app ini? ðŸ¤£",negatif (-1),1
"Sistemnya buruk, sangat merugikan seller",negatif (-1),1
Kerennn,positif (1),0
seepppp ok....,positif (1),0
senang berbelanja di sini..!!!,positif (1),0
sempurna dan asyik menggunakan transaksi,positif (1),0
Sekarang bukalapak sudah gak rekomended lagi... Saya mengajukan komplain karna barang yang dikirm gak nyampai ke saya..gak bisa juga hubungi Layanan konsumen gak aktiv..,negatif (-1),1
Keren,positif (1),0
Memudahkan segala kebutuhan pembayaran atau pemesanan barang apapun dari sellernya,positif (1),0
"Great, Bukalapak mank solusi disaat sulit. Tman_Tmin yuk bergabung!!!",positif (1),0
bagus,positif (1),0
Memuaskan,positif (1),0
aplikasi buka saja kok berat gak seperti punya sebelah enak ringgan bisa kerja gak team IT nya pantesan banyak yg kasih bintang 1 gak salah mereka,negatif (-1),1
Udah tau salah pasang gmail gak bisa di benerin . Mau sampe nungguin gmailnya orang gak ada . Apk goblogg,negatif (-1),1
Berulangkali mencoba untuk login tapi tidak mendapatkan kode OTP Entah via wa ataupun sms. Sdh lbh dr 2 jam sy otak atik tapi tetap sj tdk mndptkn kd OTP-nya bahkan sampai ponsel saya di matikan tetap saja tidak ada kode OTP-nya. Kemudian sy krm email tapi jawabnya tdk sesuai dengan permasalahan. Bagaimana mau menggunakan fitur Live Chat??Disitu tertera bahwasanya untuk menggunakan fitur Live Chat itu diharuskan Login terlebih dahulu & prmslhn yg sy alami adl tdk mndptkn kode OTP Hadeuhhh.......,negatif (-1),1
"Dasar amatiran, buat atur stok aja harus satu2, terus untuk varian warna gak bisa bikin baru, harus yang bawaan BL, ditambah pusing udah upload diawal, eg paa arur varian warna kok gambar jadi beda sama yg awal, dasae ngeribetin",negatif (-1),1
Aplikasi busuk.......,negatif (-1),1
"ku kira cuma saya doang yang kena, ternyata banyak korban, pesanan diterima namun barang tidak sampai, komplain gagal terus",negatif (-1),1
Makin lemot aja ini aplikasi.. parah,negatif (-1),1
"Saya melakukan transaksi bayar tagihan bulanan,saldo sudah terpotong tapi status malah menunggu pembayaran.",negatif (-1),1
sangat membantu terimakasih,positif (1),0
"Pesanan saya belum datang sudah 40h, jadi saya minta refund dana",negatif (-1),1
Kehilangan 800 ribu gara2 saldo dana udah kepotong tapi gak terverifikasi,negatif (-1),1
Pokoknya top lah.,positif (1),0
Baik,positif (1),0
Pokoknya mantap,positif (1),0
Gg banget,negatif (-1),1
Lemot setiap transaksi,negatif (-1),1
Jos,positif (1),0
Gak bisa upload produk selalu ada kendala,negatif (-1),1
Mantap,positif (1),0
Ko susah banget dapet yg gratis ongkirðŸ˜‚,negatif (-1),1
"Kok sekrng bnyak problem ya di BL,,,kadang mo masuk pembayaran buffering wae euy!!!! Kumaha atuh",negatif (-1),1
"Belanja online dengan sangat mudah, lumayan lengkap dan banyak pilihan barang nya dengan harga ekonomis.",positif (1),0
"Sangat membantu, terima kasih buka lapak..",positif (1),0
Good,positif (1),0
uninstall bl,negatif (-1),1
mantap cuma sayang sekarang jarang ada vocer potongn angsuran,netral (0),2
Sangat cocok untuk semua kalangan baik usia muda maupun tua Pokoknya best of the best Bukalapak ðŸ˜ŠðŸ˜ŠðŸ˜Š,positif (1),0
Ok,netral (0),2
Sip benar - benar sesuai,positif (1),0
Aplikasi belanja online terbaik,positif (1),0
Bagus,positif (1),0
Okelah,positif (1),0
"Kalo bisa di kosongkan saya kosongkan bintangnya buat bukalapak,percuma ada limite tapi gagal terus buat belanja,tagihan kosong paylater aktif,penanganan begini harus nunggu 7x24 jam.. Wow sekali bukalapak",negatif (-1),1
"Bukalapak ga jelas,percuma ada limite aktif tapi gagal setiap mau transaksi,nyesel sering belanja,jelasÂ² tagihan ga ada sama sekali.perdetik ini saya uninstal.makasih",negatif (-1),1
"App cepat tanggap , presisi ok",positif (1),0
Lebih murah,positif (1),0
Udah waktunya pindah toko sebelah.,negatif (-1),1
lemot,negatif (-1),1
Aplikasi yang bermanfaat,positif (1),0
Kaga tau tuh akun dungu ngasih bintang 5.. Parah dungu,negatif (-1),1
Lumayan,netral (0),2
Semoga makin murah dan mudah pakek bukalapak semakin banyak discon menarik,positif (1),0
"Proses cepat,sangat membantuðŸ‘",positif (1),0
Saya kurangi bintangnya..sangat kecewa..selalu transaksi dibatalkan otomatis..,negatif (-1),1
Membantu,positif (1),0
SekArang bukalapak susah untuk login...makin kesini malah makin jelek...aplikasi ablahu..,negatif (-1),1
Mengecewakan bngt,negatif (-1),1
Ok,netral (0),2
Keren,positif (1),0
Barang bagus dan oke ..siiip dah,positif (1),0
Sangat memuaskan,positif (1),0
Berguna sekali makasih ya,positif (1),0
Bagus,positif (1),0
apk gak jelas...maen bekukan saja.. saya jg bisa uninstal wkw,negatif (-1),1
Membantu n Oke,positif (1),0
Proses verifikasi akun gk bs terus. Padahal udh jd mitra tp aplikasi nya kehapus,negatif (-1),1
Gua lagi main game malah ada notif ga guna dari lu,negatif (-1),1
Sekarang Lodingnya kok lama yaa....,negatif (-1),1
Mantap,positif (1),0
"Paylater nya ga jelass, ga bisa di pakai, jadi ga nyaman pakai bukalapak",negatif (-1),1
Bgus,positif (1),0
Barang2 nya ori semua.skrg sudah ada layanan cod nya.mantap BL..smoga panjang umur&makin sukses,positif (1),0
Gabut. Buka lapak. Open aplikasi. Of lagi. Di maksimalkan lagi om. Sekarang buka app nya lemot... ðŸ™,negatif (-1),1
Bagus,positif (1),0
Good,positif (1),0
Nyaman,positif (1),0
Ok banget,positif (1),0
"Kenapa kita pilih BL? , kita belanja 50 kita mau voucher d voucher minimal blnja harus 100, kalo kita blanja 100 voucher ya minimal blanja harus 500.",negatif (-1),1
"Tidak pernah dikecewakan sama sekali, baik itu dalam pelayanan dan penyelesaian masalah, tidak ada duanya",positif (1),0
Apk tidak bisa di update,negatif (-1),1
Bukalapak is the best,positif (1),0
Sangat bagus,positif (1),0
"Makin berat aj ni aplikasi,kadang ngetik dipencarian diem gk jalan,padahal sinyal oke hp normal.lamaÂ² ditinggak pelanggan kl ky gni terus",negatif (-1),1
kacau gak sellernya gak aplikasi nya nipu semua.. beli barang 5 yg dateng 2 padahal 1 toko setiap belanja.. apliksi nya juga gitu saldo udah kepotong malah di aplikasi bukalapaknya gagal.. belanja di sebelah aja ahh.. kecewa,negatif (-1),1
Naikin lagi spaylaternya,netral (0),2
I like,positif (1),0
"Maling, top up dana buat beli tiket kereta untuk kepentingan nglamar kerja malah ditarik ke bukadompet, dibekukan pula. Disuruh ganti password, sekalinya udh diganti password malah gk bisa login. Nomor telepon gak bsa nrima kode otp, metode login pake password jg gk bisa. HatiÂ² guys, dulu aku respect sma Bukalapak, sekarang mlh maling!",negatif (-1),1
Aplikasi MANTAP .... Sangat cepat saat bertransaksi terus dari pulsa sampai pembelian barang. Pokok.e is the best,positif (1),0
Bukalapak parah dari dlu limit gak pernah naik padahal pembayaran lancar sekarang limit gak bisa dipakek PARAHHH,negatif (-1),1
Blm jelas,netral (0),2
Sangat puas...,positif (1),0
Top,positif (1),0
Apk paling gw suka dan GK ribet ðŸ‘,positif (1),0
Cek cek,netral (0),2
Respon cepat dan mufah.,positif (1),0
Mantapp ni aplikasi,positif (1),0
Mantab,positif (1),0
Aplikasi aneh baru aja daftar akun paylater nya mau belanja malah di bekuin aneh sumpah ini aplikasi,negatif (-1),1
Aplikasi gak jelas,negatif (-1),1
Mantap jiwa,positif (1),0
APLIKASINYA KBANYAKAN ERROR. update tp percuma,negatif (-1),1
Sy beli token 100rb...nomer token dimasukkan gagal terus...lapor kemana ini,negatif (-1),1
"Pesanan cepat sampenya, dan seller nya responnya sangat baik",positif (1),0
Asik poke,positif (1),0
Saya tdk suka,negatif (-1),1
"Bukalapak eror trus gk bisa cari sulusinya.jika komplain harus chat ,tidak ada custemer service yg bisa di hubungi.",negatif (-1),1
Mantap lah,positif (1),0
"Nilai bonus ongkir ditambah lagi, auto bintang lima semua",netral (0),2
Jos,positif (1),0
bukalapak top markotop,positif (1),0
"Aplikasi apa ini,,daftar akun baru..begitu sudah login langsung ada tagihan pulsa 1jt",negatif (-1),1
Good,positif (1),0
Terimakasih bukalapak,positif (1),0
"Slalu pakai aplikasi ini buat belanja,ada asuransi nya,tp hrs klik sampai atau komplain hrs dr email",netral (0),2
Mau verifikasi email aja lama sekali... Emailnya masuk 8 jam kemudian Gak bisa pula daftar paylater Payah,negatif (-1),1
"MANTAP...Aplikasi serba guna, paylater sangat membantu Terima kasih Semoga terus ditingkatkan",positif (1),0
BanyakÂ²kin gratis ongkir kl search barang seperti rkk kadang susah dicari,netral (0),2
"Apk penipu, kurang verifikasi keamanannya. Bisa- bisanya hanya pakai no hp langsung dibajak. Dana saya langsung kepotong, dan dibatalkan juga nga bisa. Saya tidak percaya dengan apk ini, kalau mau hapus malah disuruh foto KTP, padahal daftar aja tidak pakai verifikasi KTP, lah kok pas mau hapus malah disuruh foto KTP. Mohon hati-hati kalau mau install.",negatif (-1),1
Sangat bagus,positif (1),0
"Makin kesini makin banyak penipuannya setannnn.... Toko - toko yg tidak amanah atau tidak ada kejelasan mohon diberantas!!!! Ketipu 1,2 saya..... Babi",negatif (-1),1
"Aplikasi bego , di suruh verifikasi email udah verifikasi malah ga bisa masuk, tolol bgt ini aplikasi",negatif (-1),1
"Kok ngak bisa lihat produk/Barang PaporitðŸ˜ðŸ˜ðŸ˜,diketik barangnya ngak keluar,tolong Bukalapak perbaikannya dan tangapannya....!!!",negatif (-1),1
good,positif (1),0
Bos sy beli paket data ...tapi di batalkan transaksi nya oleh pelapak dan sy sudah bayar sampe sekarang dana saya belum di kembalikan oleh pihak terkait,negatif (-1),1
Saya kecewa dengan keamanan di aplikasi ini. Uang di aplikasi Dana yg saya kaitkan di aplikasi ini hilang sebesar 470rb. Dan tidak ada respon sama sekali,negatif (-1),1
Sangat puas... semoga bertambah maju... semangat...!!!,positif (1),0
belanja di bukalapak pokoknya top dah,positif (1),0
Keren,positif (1),0
makin kesini makin ga bagus,negatif (-1),1
TERIMAKASIH BUKA LAPAK SANGAT MEMBANTU,positif (1),0
Sudah bagus.. Cuman iklan seperti sale dll nya aga di kurangin,positif (1),0
Good good good Bukalapak emang memuaskan. Klw ada gratis ongkir memang benar benar gratis. Ga tipu2. Klw ada diskon Memang benar-benar diskon. Semoga Bukalapak semakin memberi kepuasan kpd konsumen terusss dan teruuus. Sy beli token listrik di BL sll ada diskon 4rb lumayan. Tolong diskon untuk tokennya trs ada dong. Jgn dihilangkan,positif (1),0
Good sukses,positif (1),0
Jadikan terus startup yg terpercaya,positif (1),0
Bagus,positif (1),0
Terimakasih BL beli barang jadi lebih gampang,positif (1),0
Aplikasi sangat bagus,positif (1),0
Sangat baik,positif (1),0
Biaya admin super seler mahal.... Untung penjual gak sebanding sama biaya potongan bukalapak. Biaya admin 8% bati juga kagak juakan disini kwkwk Makin parag sekarang jadi 10% biaya admin. Gak untung malah buntung,negatif (-1),1
Belanja mudah untuk semua kebutuhan...dan barang2nya pun berkwalitas.... Bukalapak mantap... Sukses trs dan semakin jayaðŸ‘,positif (1),0
Terimakasih,positif (1),0
sangat tidak profesional...order blm dikonfirmasi pelapak krn lapak tutup...dicancel malah disuruh nunggu seminggu ampe lapak buka...koplak kn bs dicancel lgsg dr sistem krn blm dikonfirmasi pelapak CSnya jg kurang ajar...chat komplain blm selesai left tanpa pamit otw uninstal setelah dpt refund(entah dpt ato gk),negatif (-1),1
Bayar PBB cepat tidak ribet Tanks,positif (1),0
Recommended buat yg cari2 liquid ato vaporizer,positif (1),0
"Buat mau make aplikasi Bukalapak harus diupdate dulu, pas mw diupdate gak bisa - bisa. Padahal memori hp masih muat. HadeehðŸ˜”",negatif (-1),1
"Nyari barang apa yg keluar hasil telusur apa, terus kaya susah banget nyari kata kunci nya buat cari barang, sebutin merek juga sama gak muncul. untuk official dari brand brand juga gak ada",negatif (-1),1
"Sekarang koq lemot, muterr2 pencarian.",negatif (-1),1
"Bukan bukalapak yang dulu, mantaaaf ðŸ‘ðŸ‘ðŸ‘",positif (1),0
sangat sangat bisa membantu,positif (1),0
"Sangat di sayangkan...... Lain dulu lain sekarang, bukalapak yang ga peduli sama pelanggan, sangat susah untuk mengadu kendala, pelayayanan yang sangat mengecewakan",negatif (-1),1
"Ini apk kenapa jdi error.klo di klik barang selalu keluar sendiri.payah,udah gtu skrg Bukalapak pelit gratis ongkir.skrg sya pindah ke toko ðŸ”µ.",negatif (-1),1
Sangat puas sekali,positif (1),0
mantap dan Joss gandos,positif (1),0
Sangat membantu,positif (1),0
Bukalapak Pancen OyeeeeeðŸ‘ðŸ‘ðŸ‘ðŸ‘,positif (1),0
Makin sukses,positif (1),0
"Menu Buka Bantuan live chat...tidak bisa Masuk ??? Pesanan di kembalikan...Tidak ada keterangan Uang nya di transfer ke rekening atau ke saldo B.L ???? Bagaimana customer mau tanyakan...tidak ada akses komplain !!! Email , buka bantuan , live chat..semua akses komplain tidak bisa ! Jgn merugikan konsumen !",negatif (-1),1
apk sudah kurang diminati uninstall aja. merepotkan penjual dan pembeli aturannya terlalu nggak umum. cs nya tidak responsif di komplain susah,negatif (-1),1
Lumayan bagus aplikasinya...,positif (1),0
Belum ku coba,netral (0),2
"makin kesini, BUKALAPAK makin turun(jelek) beli barang, ga bisa gratis ongkir. walaupun beli harga diatas 100k ngga kayak LAZADA/TOKOPEDIA. belanja 20k aja gratis ongkir.",negatif (-1),1
Alhamdulillah,positif (1),0
"Saya mau jadi pelapak, sudah verifikasi KTP. Infonya 48 jam.. Tapi dah mau 3 hari akun Saya belum di verifikasi,,gak bisa masuk menu upload barang.., gimana mau jualan ini lemot banget verifikasi nya ribet",negatif (-1),1
KRITIK PENJUAL NYA INI APLIKASI BUSUK !!! SARANG NYA PENJUAL HP KW... KOMPLAIN MALAH BELA PEBJUAL NYA !!! COCCK,negatif (-1),1
"Tolong diperbaiki, hp saya samsung a 8 plus, tidak dapat menginstal pembaruan.",negatif (-1),1
ok,netral (0),2
Bagus,positif (1),0
"Ini aplikasi tidak bisa melindungi pembeli nya. Hati"" Kalo belanja di sini, sudah bayar barang tidak di kirim, komplain tidak bisa, live chat tidak membantu,uang hilang jadi nya.",negatif (-1),1
App bagus,positif (1),0
Top,positif (1),0
"Cs responsif , dan aplikasi user friendly",positif (1),0
Belanja aman tanpa takut kehilangan uang...good job n success bwt BUKALAPAK Info aj. Utk promo yg sdh kadaluarsa tlng di hapus... Tingkatkan promo pengiriman,positif (1),0
"Apk berisik selalu nongol di notif mulu, maaf ya sebelum di instal kita kasih rating buruk dulu, biar sistem managamentnya cepet di perbaikin..",negatif (-1),1
Sangat memuaskan,positif (1),0
"Bintang 2 dulu deh, soalnya saya gagal terus buat pinjem dengan alasan Pinjaman tunai sedang tidak aktif, nanti kalo dah bisa saya ganti bintang 5",netral (0),2
Mempercepat kebutuhan,positif (1),0
"MudahÂ²an aje setelah di kasih Bintang 5, dibantu oleh admin supaya banyak pesanan (Banyak pembeli yg beli dagangan saya di Bukalapak. Aamiin ðŸ¤²",positif (1),0
Mantap,positif (1),0
Oke,netral (0),2
Top,positif (1),0
Saya sudah membayar tagihan saya tapi kenapa sampai sekarang belum di verifikasi dan menjadi kadaluwarsa bahkan saya di tagih tagih,negatif (-1),1
mantappp,positif (1),0
Seep,netral (0),2
Lumayan ok,positif (1),0
Ok,netral (0),2
buka lapak..menurut sy terbaik dlm rekrutmen resller nya....dan respon cepat..jk ada komplen dan kesalahan pengiriman,positif (1),0
Bintang 4 aja lah ... karen paylater sya ga bisa di gunakan pdhal ada limit nya hufh,netral (0),2
Masih ada aja penipu disini,negatif (-1),1
Aplikasi yang sangat berguna,positif (1),0
terbaik aplikasi sanhat membantu,positif (1),0
"Sangat membantu saya, sistem sangat cepat",positif (1),0
Pokoknya mantap deh.....,positif (1),0
