,Original,Summary
122,,
123,Never issue tokopedia strict scrutiny shop owner Tokopedia one best online shop know rely Kudos tokopedia team Keep spirit,Kudos tokopedia team
124,Pas scroll liat2 barang suka force closed,Pas scroll liat2 barang suka force closed
125,Awesome,Awesome
126,pay later ny jg Jd nyaman belanja,pay later ny jg Jd nyaman belanja
127,Bgus,Bgus
128,nan,nan
129,fast respon kemasan bagus rapi,fast respon kemasan bagus rapi
130,Realy helpfull,Realy helpfull
131,Duduk dirumah buka Toped Bayar apapun Tokopedia yg terbaik,Tokopedia yg terbaik
132,ih,ih
133,Good app,Good app
134,Tokopedia crucial family self isolation period due corona virus covid19 Thank Tokopedia,Thank Tokopedia
135,referensi e commerce terbaik,referensi e commerce terbaik
136,Good app online shopping,Good app online shopping
137,Cepet,Cepet
138,Respon cepat,Respon cepat
139,Toko nya bagusbagus rekomendasinya ok2,Toko nya bagusbagus rekomendasinya ok2
140,,
141,belanja online tokopedia aja ga barang dijual nya thx tokopedia,nya thx tokopedia
142,Kerenn bangett broo,Kerenn bangett broo
143,Transaksi mudah Free ongkir,Free ongkir
144,simpan history kartu kredit bayar 10rb,simpan history kartu kredit bayar 10rb
145,item harga tertinggi terendah nggak kupon cashback free ongkir pelit bagusan shoope Tokopedia,item harga tertinggi terendah nggak kupon cashback free ongkir pelit bagusan shoope Tokopedia
146,best application indonesia,best application indonesia
147,memudahkan,memudahkan
148,satisfying experience great responsibility Keep,Keep
149,Fav,Fav
150,pakai tokped belaja dr yg high end sampe perintilan emang kadang sebel CS gak nomor tlpnya tp semenjak Jack kayaknya respon CSnyabmakin cepet nih keep,emang kadang sebel CS gak nomor tlpnya
151,Best marketplace,Best marketplace
152,Good job tokopedia,Good job tokopedia
153,Maju tokped,Maju tokped
154,oke,oke
155,Udh terbantu bgttttt sm aplikasi org yg super mager ky gue hahaha thx tokopedia,Udh terbantu bgttttt sm aplikasi org yg super mager ky gue hahaha thx tokopedia
156,Memudahkan belanja online mantap,Memudahkan belanja online mantap
157,Namanya system suka error nya benerkan kasi masukan tp errornya banding toko sebelah komplain toko karna penipuan susah karna sy transaksi TOKO penipu semoga lg yg kena tipu report tokonya karna ribed pilihannya,Namanya system suka error nya benerkan kasi masukan tp errornya banding toko sebelah komplain toko karna penipuan susah karna sy transaksi TOKO penipu semoga lg yg kena tipu report tokonya karna ribed pilihannya
158,Keep good work,Keep good work
159,Best shopping app,Best shopping app
160,tanggal tua kebutuhan bayar tagihan pasca bayar terselamatkan promo diskon bayar tagihan Lumayan potongan 8k tinggal bayar sisanya Go coins dipake lhooo bayar tagihan PDAM 93k dg GoCoins duit sekaliii Makasih Tokped,tanggal tua kebutuhan bayar tagihan pasca bayar terselamatkan promo diskon bayar tagihan Lumayan potongan 8k tinggal bayar sisanya Go coins dipake lhooo bayar tagihan PDAM 93k dg GoCoins duit sekaliii Makasih Tokped
161,mantaf nggak limitnya,mantaf nggak limitnya
162,nice apps,nice apps
163,Aplikasi mudah penggunaannya,Aplikasi mudah penggunaannya
164,cinta marketplace Indonesia,cinta marketplace Indonesia
165,voucher mantaaap,voucher mantaaap
166,Excellent,Excellent
167,User friendly komunikatif informatif efektif,User friendly komunikatif informatif efektif
168,OK bgt byr pake gopay,OK bgt byr pake gopay
169,5 biaya layanan seribu rupiah duaribu rupiah 3 yah Bagusnya sperti gada penambahan biaya kesini aplikasi orange,Bagusnya sperti gada penambahan biaya
170,Barang2nya lengkap memudahkan penjual pembeli langsung berinteraksi,Barang2nya lengkap memudahkan penjual pembeli langsung berinteraksi
171,promo nya,promo nya
172,good online shop,good online shop
173,Lancar aplikasinya,Lancar aplikasinya
174,Barang Bagus,nan
175,good easy use,good easy use
176,Akhir2 masuk internet,Akhir2 masuk internet
177,Cashback promo bebas ongkir Harga dibandingkan yg Searching produk tdk dibatasi utk mengambil pembanding harga,Harga dibandingkan yg
178,reliable smooth,reliable smooth
179,metode bayarnya,metode bayarnya
180,Dear Tokopedia Pas selesai update ga kebuka Memory nya udah kosongin uninstall reinstall ga kebuka Tolong bantuannya,Dear Tokopedia Pas selesai update ga kebuka Memory nya udah kosongin uninstall reinstall ga kebuka Tolong bantuannya
181,Terima kasih memudahkan,Terima kasih memudahkan
182,Browsing produkproduk App slow iPad Mini 5 dibilang tua hardwarenya Please update make better matikan fiturfitur shakeshake otomatis video berjalan,matikan fiturfitur shakeshake otomatis video berjalan
183,Greattt,nan
184,Use friendly,Use friendly
185,free kngkir nya sy betah pelayanan cs nya,pelayanan cs nya
186,Semoga sukses,Semoga sukses
187,Mantabb jiwaaaa,Mantabb jiwaaaa
188,Cashbacknya,Cashbacknya
189,Banget,Banget
190,Aplikasinya mantap kendala mudah2an barang yg dipesan jg cepat,Aplikasinya mantap kendala mudah2an barang yg dipesan jg cepat
191,Aman,Aman
192,ios kadang button cartnya susah diklik,ios kadang button cartnya susah diklik
193,Tokped ramah pembeli Regulasi pengembalian ramah menyulitkan pembeli Komplain barang jg digubris,Regulasi pengembalian ramah menyulitkan pembeli
194,Ramein guys Aplikasi karya anak bangsa dijajah orang diimingimingi promo,Aplikasi karya anak bangsa
195,Pokonya bintang yg berbicara,Pokonya bintang yg berbicara
196,Simple Cepat Diskon,Simple Cepat Diskon
197,Memudahkan transaksi,Memudahkan transaksi
198,Toped Best Laah online shop Indonesia lots goods things best prices daah,nan
199,UwU nih bagus banget,UwU nih bagus banget
200,Aplikasi membantu mencerminkan kemajuan teknologi membantu memudahkan aktivitas masyarakat masyarakat generasi millenial serba instant mantabb,Aplikasi membantu mencerminkan kemajuan teknologi membantu memudahkan aktivitas masyarakat masyarakat generasi millenial serba instant mantabb
201,Pas,Pas
202,Mudah diakses,Mudah diakses
203,cashback,cashback
204,Lancar praktis aplikasi nya,Lancar praktis aplikasi nya
205,Murah Meriah,Murah Meriah
206,Mantab membantu online shop pakai aplikasi yg,Mantab membantu online shop pakai aplikasi yg
207,Overall tokopedia app still satisfied display features payment process great Keep,display features payment process great
208,Isi emoney 100k pembayaran berhasil gak terupdate,Isi emoney 100k pembayaran berhasil gak terupdate
209,diskonnya dongg belanja elektronik membantu udah kali beli barang pake diskon Cashback tokped,diskonnya dongg belanja elektronik membantu udah kali beli barang pake diskon Cashback tokped
210,Online solutions needs,Online solutions needs
211,Alhamdulillah mantap,Alhamdulillah mantap
212,Aplikasi andalan utk bayar tagihan pulsa beli barang impian,Aplikasi andalan utk bayar tagihan pulsa beli barang impian
213,Sip barang,barang
214,Mudah transaksi ap yg butuh,Mudah transaksi ap yg butuh
215,Good Job,Good Job
216,Oke,Oke
217,svyrslf,svyrslf
218,Good aplication,Good aplication
219,Superrrr,Superrrr
220,helpful application,helpful application
221,Gooood Good everythings,Gooood Good everythings
222,Ntaps,Ntaps
223,Aplikasi Hp lumayan bagus computer Tokped susah error Apple,error Apple
224,Mudah,Mudah
225,nan,nan
226,good service OVO Tokopedia,good service OVO Tokopedia
227,Sll Puas bgt,Sll Puas bgt
228,Awesome good,Awesome good
229,Nice aplication,Nice aplication
230,Bawang diterima sesuai denganpermintaan terimakasih,Bawang diterima sesuai denganpermintaan terimakasih
231,Tolong perbanyak merchant yg kualitas bagus,Tolong perbanyak merchant yg kualitas bagus
232,best online shopping app,best online shopping app
233,mantul,mantul
234,dah paham pakainya dilatih,dah paham pakainya dilatih
235,Thanks,Thanks
236,Happy banget,Happy banget
237,BanyakBanyak Promo nya biar yg bengonghehehehehehe Salam Sukses TOPED,BanyakBanyak Promo nya biar yg bengonghehehehehehe Salam Sukses TOPED
238,Seringsering kasi kupon top tagihan yah,Seringsering kasi kupon top tagihan yah
239,AwosomeThank,AwosomeThank
240,Best online shopphing app country,Best online shopphing app country
241,Mantep,Mantep
242,Kerennn,Kerennn
243,membantu terdesak,membantu terdesak
244,Biaya Rp 500 transaksi,Biaya Rp 500 transaksi
245,Responsif,nan
246,mengecewakan,mengecewakan
247,Gratis ongkir gopay mantap,Gratis ongkir gopay mantap
248,Brand online shop ter ter hadiah cash back,Brand online shop ter ter hadiah cash back
249,Mudah Tdk ATM,Tdk ATM
250,Puas banget,Puas banget
251,good,good
252,always use tokopedia online shopping,always use tokopedia online shopping
253,diskon bebas ongkir konek dgn gopaypay later mantab,diskon bebas ongkir konek dgn gopaypay later mantab
254,Puas,Puas
255,apps keren pisan inclusive,apps keren pisan inclusive
256,nyamanlah pake Toped ga TQ,TQ
257,Lumayan puas dgn tokped tp kesini biaya tambahan,Lumayan puas dgn tokped tp kesini biaya tambahan
258,Barang yg dijual bagus terpecaya,Barang yg dijual bagus terpecaya
259,Sesuai harga sip barangnya,Sesuai harga sip barangnya
260,Barang bagus cepat,Barang bagus cepat
261,nyaman belanja tokopedia dapet gratis ongkir pilihnya salah aja cashback gratis ongkir,nyaman belanja tokopedia dapet gratis ongkir pilihnya salah aja cashback gratis ongkir
262,toko pe bacanya nyanyi ya,toko pe bacanya nyanyi ya
263,Aplikasi Online best Jempolllll,nan
264,sisa 4 gratis ongkir tp stiap check ga bs dgunakan dgn alasan kendala pd gratis ongkir,sisa 4 gratis ongkir tp stiap check ga bs dgunakan dgn alasan kendala pd gratis ongkir
265,Hopefully credit payment free charge,Hopefully credit payment free charge
266,Mudah bertransaksi aman promonya,Mudah bertransaksi aman promonya
267,Mantab,Mantab
268,Pembayar bagus lancar,Pembayar bagus lancar
269,Mantaps,Mantaps
270,Mantap cepat,Mantap cepat
271,mantap bnyk cashback,mantap bnyk cashback
272,jempol,jempol
273,Tokopedia membantu usaha online semoga mempermudah pelaku UMKM,Tokopedia membantu usaha online semoga mempermudah pelaku UMKM
274,Murah apik,Murah apik
275,Simpel cepat memasukan alamat repot fitur lokasi susah input alamat manual lokasi yg terintegrasi pin google map pake aplikasi,Simpel cepat memasukan alamat repot fitur lokasi susah input alamat manual lokasi yg terintegrasi pin google map pake aplikasi
276,barang terjual barang stocknya dihapus search,barang terjual barang stocknya dihapus search
277,Bagus kendala pakai tokopedia,Bagus kendala pakai tokopedia
278,Recommended marketplace,Recommended marketplace
279,Aplikasi membantu langsung komunikasi penjual nya,Aplikasi membantu langsung komunikasi penjual nya
280,belanja puasnya,belanja puasnya
281,Ttep sukses,Ttep sukses
282,nan,nan
283,promo menarik,promo menarik
284,Ganti pengirim,Ganti pengirim
285,Mudah prosesnya tokonya dipercaya,Mudah prosesnya tokonya dipercaya
286,Smoga jaya,Smoga jaya
287,Good job,Good job
288,Terpercaya mudah cepat gampang,Terpercaya mudah cepat gampang
289,promo cendrung menipu tokopedia harga menipu aplikasi aplikasi adakan diskon tahunya harga diskon harga tokopedia diskon semoga tokopedia jaya,aplikasi adakan diskon tahunya harga diskon harga tokopedia diskon
290,good app thx,good app thx
291,murah,murah
292,mudah yg,mudah yg
293,Connected GoPay Layout rapih dibanding kompetitor,Layout rapih dibanding kompetitor
294,bagus,bagus
295,Top,Top
296,Aplikasi bagus,Aplikasi bagus
297,nice,nice
298,Bayar toped pakai gopay gak pakai ribet,Bayar toped pakai gopay gak pakai ribet
299,Bangga,Bangga
300,Great,Great
301,Gratis ongkirnya ditambah,Gratis ongkirnya ditambah
302,Barang sesuai deskripsi pengirimannya cepat,Barang sesuai deskripsi pengirimannya cepat
303,great experience using app,great experience using app
304,Bagus,Bagus
305,nice simple,nice simple
306,niceeeee,niceeeee
307,Algoritma pencarian produk diimprove,Algoritma pencarian produk diimprove
308,Belanja online terpecaya ya Tokopedia,Belanja online terpecaya ya Tokopedia
309,,
310,Best application,Best application
311,Aplikasinkeren,Aplikasinkeren
312,beli kali memuaskan trusted,beli kali memuaskan trusted
313,Semoga barang yg dikirim kualitas bagus original philips dibungkus tebal cacat,Semoga barang yg dikirim kualitas bagus original philips dibungkus tebal cacat
314,Muantab,Muantab
315,Keren tokopedia,Keren tokopedia
316,belanja transaksi tokped jg gunain bayar Cicilan Fiturnya mudah promonya banget Gratis ongkir cashback Real sesuai deskripsi Gacuma heboh iklan dipake syaratnya pokonya transaksi tokped nyaman fun bgt,Fiturnya mudah promonya banget Gratis ongkir cashback Real sesuai deskripsi
317,Mudah nyaman,Mudah nyaman
318,Suka banget transaksi tokped,Suka banget transaksi tokped
319,Help much,Help much
320,puas,puas
321,Good well recommended produk sesuai deskripsi,Good well recommended produk sesuai deskripsi
322,Best app looking everything anything goods,Best app looking everything anything goods
323,App works well useful,App works well useful
324,Mantabbbb,Mantabbbb
325,Gak bagus Tokopedia pokoknya,nan
326,Ok,Ok
327,Aplikasi berguna mencari barang kesayangan,Aplikasi berguna mencari barang kesayangan
328,Cuman toko online aja,Cuman toko online aja
329,Nikmat,Nikmat
330,Aplikasinya bagus Bikin belanja gadget,Bikin belanja gadget
331,Kentul keren,Kentul keren
332,Mantap Pembeli belajar pengalaman pembelibsebelumnuatranksaksi aman,Pembeli belajar pengalaman pembelibsebelumnuatranksaksi aman
333,Thx,Thx
334,ngga pakai bertransaksi,ngga pakai bertransaksi
335,Everything recomended,Everything recomended
336,Udah gitu aja,Udah gitu aja
337,Sip,Sip
338,User friendly like,like
339,Asu BERKALI KALI PEMBAYARAN DITOLAK TOP GOPAY HUBUNGKAN TOKOPEDIA GOPAY DITOLAK ALASAN KAMPRETTT,KAMPRETTT
340,Praktis,Praktis
341,Puas,Puas
342,Fast respon,Fast respon
343,Shopping line recommended,Shopping line recommended
344,Mudah penggunaan aplikasinya,Mudah penggunaan aplikasinya
345,best olshop,best olshop
346,Reliable Yes,Yes
347,usefull,usefull
348,Good,Good
349,pencarian barangnya pilihan,pencarian barangnya pilihan
350,Beberap Seller batal jual barang chat beli bilangnya teraedia,Beberap Seller batal jual barang chat beli bilangnya teraedia
351,Fair,Fair
352,membantu aplikasinya user friendly,membantu aplikasinya user friendly
353,Gak ribet penuh informasi,Gak ribet penuh informasi
354,Pleass giving costumer point cash back useless must transaction ovo,Pleass giving costumer point cash back useless must transaction ovo
355,hitungan 13 detik udah nyampe pulsanya Alhamdulilah tokped,hitungan 13 detik udah nyampe pulsanya Alhamdulilah tokped
356,belanja online bayar tagihan compare harga handal handal jepit ya,belanja online bayar tagihan compare harga handal handal jepit ya
357,many payment methode make customer lot comfortable shopping,make customer lot comfortable shopping
358,Pembayaran pakai OVO rada ribet Krn OVO pembayaran pilihan,Krn OVO pembayaran pilihan
359,suka diskon wkwk,suka diskon wkwk
360,daily use daily need,daily use daily need
361,Tap mantap,Tap mantap
362,Pembayaran Angsuran Kredit motor mudah antri2 lg Trimksh Tokopedia,Trimksh Tokopedia
363,Slalu puas belanja,Slalu puas belanja
364,toped online shopping terbaik,toped online shopping terbaik
365,Userfriendly keep good work,Userfriendly keep good work
366,Nice apps reallu enjoyed apps love,Nice apps reallu enjoyed apps love
367,Great app,Great app
368,Mudah pakainya mixed pembayaran,Mudah pakainya mixed pembayaran
369,Good bget,Good bget
370,Seamless transaction cepet reliable Mohon awasi peredaran barang palsuKWcounterfeit,Mohon awasi peredaran barang palsuKWcounterfeit
371,Ajaiiiiibbb hehe,Ajaiiiiibbb hehe
372,Gak pusing nyari2 belanjaan rumah langsung pintu jam transaksi mudah transfer mobile banking mantap,Gak pusing nyari2 belanjaan rumah langsung pintu jam transaksi mudah transfer mobile banking mantap
373,Tolong terapkan KPI personil tokopedia care berbasis time pelanggan sukasuka oknum tuk Sukses Tokopedia,Sukses Tokopedia
374,shopping needs,shopping needs
375,Ecommerce favorite apps nya gk ribet luv keep,Ecommerce favorite apps nya gk ribet luv keep
376,,
377,membantu bisnisku sbg penjual membantu sbg pembeli tolong dibanyakin promo gopoints nya,membantu sbg pembeli tolong dibanyakin promo gopoints nya
378,Bnyak promojrng dipake bonus menumpuk,Bnyak promojrng dipake bonus menumpuk
379,Ga yg ngalahin deh klo jual beli,Ga yg ngalahin deh klo jual beli
380,Harga Produk bersaing salah Aplikasi Online yg termurah Variasi Barang Beragam Fitur Pencarian mudah Program Diskon Voucher Bulannya Fasilitas Pembayaran beragam memakai Dana yg Ovocash Ovopoint Gopay Gocoin Fasilitas Pengiriman bermacammacam Free Ongkos Kirim Pokoknya Program Toko Online Favorit,Free Ongkos Kirim Pokoknya Program Toko Online Favorit
381,Terbaik,Terbaik
382,Niat hati pengen dapet best price beli HP hafiah natal eh dapet voucher cashback gopay coin 1212 sayang tipu tipu selesai transaksi berhasil cashback masuk penipuan cs responsif ga jalan daftar pake akun sendang dituduh akun kakak Woi beda KTP woiiii Beda HP pulaa Beda KSK Beda Rumah Pulaaaaa,daftar pake akun sendang dituduh akun kakak
383,Easy,Easy
384,Ga bikin emosi belanja tokped dibilang pake promo akun dibilang manipulasi genting bgt pesenannya Kecewa polll ga pesen tokped udh bener oren aja Malem malem bikin darting csnya lemot udh chat dicek ngulang format wes mboh,Malem malem bikin darting csnya lemot udh chat dicek ngulang format wes mboh
385,Good,Good
386,Mudah cepet membantu penghasilan tambahan,Mudah cepet membantu penghasilan tambahan
387,Ok Mantab,Ok Mantab
388,Okk kerennnnn,Okk kerennnnn
389,Mantap Customer service yg terbaik dibanding online yg,Customer service yg terbaik dibanding online yg
390,Nu sae na ti pusat,Nu sae na ti pusat
391,Bgs,Bgs
392,Best apps complete fast enough,Best apps complete fast enough
393,membantu,membantu
394,Nice one,Nice one
395,cashbacknya,cashbacknya
396,Lancar sukses aman,Lancar sukses aman
397,Best,Best
398,Hebat,Hebat
399,Puas banget layanan tokopedia,Puas banget layanan tokopedia
400,Fast,Fast
401,mantapp,mantapp
402,much tax tokopedia small reward buyer seller,much tax tokopedia small reward buyer seller
403,Pajaknya naek turunin pajaknya donk seller ama pembeli biar nyaman,Pajaknya naek turunin pajaknya donk seller ama pembeli biar nyaman
404,Murah flexibel,Murah flexibel
405,Ok aja tracking,Ok aja tracking
406,Tokopedia Mantap,Tokopedia Mantap
407,Better shope,Better shope
408,Really fun lot sale,Really fun lot sale
409,mantap promo,mantap promo
410,Praktis kadangkala utk date bbrp kali susah,Praktis kadangkala utk date bbrp kali susah
411,Puas layanan klaim garansimusah cepat,Puas layanan klaim garansimusah cepat
412,ditingkatkan ok brother,ditingkatkan ok brother
413,Alhamdulillah nambah penghasilan terimakasih tokopedia,Alhamdulillah nambah penghasilan terimakasih tokopedia
414,Cepat respon nya mantul bosss,Cepat respon nya mantul bosss
415,Trustable ECommerce,Trustable ECommerce
416,aplikasi utama,aplikasi utama
417,Indonesia mesti maju,Indonesia mesti maju
418,Easy trusted online shop indonesia,Easy trusted online shop indonesia
419,features GoJek time time Great,Great
420,Superb fast countable,Superb fast countable
421,Mantull,Mantull
422,Pembayaran tokped super sat set,Pembayaran tokped super sat set
423,maksimal,maksimal
424,mahal aja biaya tambahan nya gabung gojek,mahal aja biaya tambahan nya gabung gojek
425,User friendly,User friendly
426,Toko Pedia emang top,Toko Pedia emang top
427,Terima kasih,Terima kasih
428,Yuksss belanja Topedw,Yuksss belanja Topedw
429,nyaman fitur bayar BPJS lwt Tokopedia Terima kasih,Terima kasih
430,Super user friendly,Super user friendly
431,Tokped diskon ongkirnya pelit huhu,Tokped diskon ongkirnya pelit huhu
432,Aplikasi stuck iPhone 6S plus masuk iOS 1313 Tolong update Thanks,iOS 1313
433,Mudah pemakaian aplikasi,Mudah pemakaian aplikasi
434,Tks OVO,Tks OVO
435,mantap total,mantap total
436,Keren bgt cepet praktis,Keren bgt cepet praktis
437,makasih toko pedia,makasih toko pedia
438,best,best
439,Puas pake gopay mudah cepat Gak pake repot Pokoknya mantab pake gopay,Pokoknya mantab pake gopay
440,Tob,Tob
441,Top deh,Top deh
442,,
443,Pokoknya tokopedia kantep dibandi market place,Pokoknya tokopedia kantep dibandi market place
444,Sudut meja,Sudut meja
445,Suka banget belanja ditokopedia Terpercayaaa,Suka banget belanja ditokopedia Terpercayaaa
446,Always excellent experience shopping Tokopedia,Always excellent experience shopping Tokopedia
447,Helpful,Helpful
448,belanja free ongkir syarat,belanja free ongkir syarat
449,Rencana beli babi ngepet beli laptop ya udah deh,Rencana beli babi ngepet beli laptop ya udah deh
450,Tokped online store ui simple mudah,Tokped online store ui simple mudah
451,mantab,mantab
452,Makasiiiii,Makasiiiii
453,Tokpedd,Tokpedd
454,Simple recomended trusted,Simple recomended trusted
455,nan,nan
456,biaya,biaya
457,aplikasi yg simple cepat akurat berbelanja,aplikasi yg simple cepat akurat berbelanja
458,mantapp,mantapp
459,good service,good service
460,nan,nan
461,Manteb manteb,Manteb manteb
462,First pay,First pay
463,Tokopedia kurir rekomendasi pengiriman ngawur jawa 2 max 3 4 gak masuk akal kurir anteraja busuk dipakai,kurir anteraja busuk dipakai
464,Joss,Joss
465,Keep Develop,Keep Develop
466,Best best,Best best
467,Sayang TokPed lambat loading semoga perbaiki yan,Sayang TokPed lambat loading semoga perbaiki yan
468,Waw,Waw
469,sukses tokopedia,sukses tokopedia
470,Better UI almost ecommerce apps,Better UI almost ecommerce apps
