,Original,Summary,Sentiment
55,"Today when the new Apple update became available to me, my face oil dating profile just disappeared. I’d been using it this morning, and then it just restarted like I’d never set it up before. This is beyond irritating, as I had already started connecting with people and I had my profile set how I wanted it… now it won’t even let me reset— I just keep getting error messages each time I try to redo it.   It’s like it’s completely crashed.",It’s like it’s completely crashed.,-1
56,"The Dating app of Facebook has so many malfunctions and glitches is insane. They even removed my whole dating profile without noticed or explanation. I reached out to them for three days waiting for a response and today makes day four with no reply form Support. Mark Zuckerberg, going after TikTok has caused him to go down a horrible, slippery slope. And I’m here for it!",I reached out to them for three days waiting for a response and today makes day four with no reply form Support.,-1
57,After this last update apparently it deleted my whole dating profile. Like dang I met some cool people on there and poof nothing. I tried to create a new one but nothing and trying to get on Facebook itself has been a complete joke. That’s my entertainment and now it’s gone lol but I can’t even creat a new one it says Query Error!,Like dang I met some cool people on there and poof nothing.,-1
58,I was using the dating side of it to make friends and it apparently deleted it and now won’t let me restart it or open it! Also when I’m looking at the market place and I’m scrolling the squares become white and no info pictures nothing is shown except for blank posts. The adds have become out of hand as well constant harassment to click links and they make the buttons to make them disappear so tiny that you end up clicking on the add and it shows up even more! Facebook seems to be going down. I’m just waiting and hopping something better comes along.,Also when I’m looking at the market place and I’m scrolling the squares become white and no info pictures nothing is shown except for blank posts.,-1
59,"Hello everyone so I’m going to make this short and simply. If you use the dating section of this app as a young woman you know the responses you get can be over the top right ? So someone a older man was harassing me , I did not answer back. He then followed up by asking me a very inappropriate question. In which I answered back with sarcasm. With all the information that Facebook has on that conversation, and with me only replying once to an overload of messages , they banned me. Yes you heard correctly they banned me for sarcasm yet let others who use their platform for other things,  personal pleasures, say and do whatever they please everything besides dating.",He then followed up by asking me a very inappropriate question.,-1
60,Facebook Is censoring peoples right of freedom of speech and now have fact checkers that have no idea what they are talking about that or fact checking real facts and saying they are fools the only reason I’m on Facebook is because of marketplace everything else about the app is crap Facebook should be sued for stealing peoples information and personal data and selling it but no one is being held liable I got this Mark Zuckerberg fall guyBut the people that awoke know that Facebook is ran by the government to collect our info other than marketplace wouldn’t recommend this app for anyone and I’ll be deleting it soon,Facebook Is censoring peoples right of freedom of speech and now have fact checkers that have no idea what they are talking about that or fact checking real facts and saying they are fools the only reason I’m on Facebook is because of marketplace everything else about the app is crap Facebook should be sued for stealing peoples information and personal data and selling it but no one is being held liable I got this Mark Zuckerberg fall guyBut the people that awoke know that Facebook is ran by the government to collect our info other than marketplace wouldn’t recommend this app for anyone and I’ll be deleting it soon,-1
61,"It’s concerning to see how many accounts are getting hacked and then there’s absolutely nothing they are able to do to get the account back. It’s also annoying that you get banned for saying something silly or stupid, but people can swear, make threats and so forth and not get banned. The ads are awful. Facebook isn’t what it use to be.","It’s also annoying that you get banned for saying something silly or stupid, but people can swear, make threats and so forth and not get banned.",-1
62,I already have a Facebook dating account but since y’all recent update I can’t go back like it’s saying that I have to create a new one but doesn’t want me to confirm it saying it’s a error and I kept closing the app 3x and still saying the same thing so please fix it and stop making people start over of the Facebook dating that we already have 😡,I already have a Facebook dating account but since y’all recent update I can’t go back like it’s saying that I have to create a new one but doesn’t want me to confirm it saying it’s a error and I kept closing the app 3x and still saying the same thing so please fix it and stop making people start over of the Facebook dating that we already have 😡,-1
63,"I get on Facebook about once a week and I also never post anything controversial because I don’t like to argue about important topics unless I’m face to face with someone. Well my facebook and Instagram account was permanently banned and not eligible for appeal. I had over 6,000 followers on Instagram and used it for my art. I also had an art business page for Facebook that I can’t even get into anymore. When I go to reset the password there is an email I don’t recognize so I think I got hacked somehow but how am I supposed to get help if I can’t even appeal it?",When I go to reset the password there is an email I don’t recognize so I think I got hacked somehow but how am I supposed to get help if I can’t even appeal it?,-1
64,"And now Facebook Dating is prompting me to recreate my profile, and then runs into a query error when trying to finalize.  Does this mean my profile was deleted?  Everything gone?  Or maybe it was backed up and can be restored?  Who knows.  Bravo.
👏",Or maybe it was backed up and can be restored?,-1
65,Even though I turned off notifications the app would keep bugging me every time someone posted a comment I on a post I commented on. Super annoying! So buggy. Messages missing. Features missing. Links incorrectly truncated. Bugs with Japanese. Can't filter your feed by types. Who cares that so-and-so was tagged in X or so-and-so commented Y on or so-and-so liked Z. Quit wasting my time! Let me choose what I want to see,Who cares that so-and-so was tagged in X or so-and-so commented Y on or so-and-so liked Z.,-1
66,"Accidentally logged out and when I went to log in I got an error  message saying “an unexpected error occurred. Please retry logging in”. I did and same message. I’ve done all the trouble shorting steps like forgot password etc to try and get back in and nothing. Even worse that there is no customer support team to contact. I tried creating another account and got a message hey this look like you and it’s my profile, but no way to log back in. So bummed as there are so many memories on my page!",I’ve done all the trouble shorting steps like forgot password etc to try and get back in and nothing.,-1
67,"I really only use fb for keeping up with ‘older’ family members and for Marketplace. However, marketplace is becoming an absolute joke and can’t ever load listings (great WiFi, cell signal) it just spins and never loads within a 20mi radius and is so sporadic but getting worse. Hope people start listing stuff on other platforms and ditch FB because it’s going downhill.",Hope people start listing stuff on other platforms and ditch FB because it’s going downhill.,-1
68,this is my most famous app i have a screen time on this app of 23 hours a day that’s show how much i love this app i like watching the the little kids get beat up my there moms,this is my most famous app i have a screen time on this app of 23 hours a day that’s show how much i love this app i like watching the the little kids get beat up my there moms,-1
69,"I only have like 20 or so friends so my feed is constantly covered in sponsored videos and ads. It’s extremely annoying. I don’t want to see terrible LAD Bible, Buzzfeed, and Bored Panda videos of “good skills fix common problems” videos. I only have the app to keep track of birthdays and to use marketplace, but it’s really getting to the point where I’m just gonna close my account altogether.",It’s extremely annoying.,-1
70,I really love Facebook because it is better than instagram because instagram copied TikTok and that is how i meet friends from Facebook and I don’t have any issues so far,I really love Facebook because it is better than instagram because instagram copied TikTok and that is how i meet friends from Facebook and I don’t have any issues so far,1
71,"Come on!!! Since last 5,467,876th update, my newsfeed won't update any later than 10 days ago!!!!! I already slept and blinked through a week and 3 days since then!!! I want to see something a little bit more current!!! Why is this so hard?! And get those MANDATORY SUGGESTED pages off my feed!!!! They have absolutely nothing to do with me!!!!!",!,-1
72,"I made a business page called Champions of Grace. I paid for ads that resulted in a huge number of bot comments. My posts weren’t showing up on a number of my friends feeds, despite paying for advertisements. Multiple ads I paid to run were denied due to political bias against the Christian views of my page.

 I was slandered by an article and attempted to pay for an ad that would disprove that article with factual evidence, but my ad was denied without valid justification and a vague and insufficient explanation. 

Facebook constantly fills my video feeds with borderline pornographic content. 
Facebook is absolutely horrible. I’d rather take my business elsewhere. 

“Independent fact checkers” prevented factual evidence from being dispersed about alternative treatments for COVID, and spread untruthful propaganda about the vaccine.

Facebook has become an arm of politics and tyranny.",I’d rather take my business elsewhere.,-1
73,"We have done absolutely everything we could to get her page back but you guys won’t do anything to fix it. Facebook is a joke! I will never upgrade from 1 star until you all at Facebook make this right!!!

Also, when you click on pictures to view something for sale the pictures are all messed up","Also, when you click on pictures to view something for sale the pictures are all messed up",-1
