,review,sentiment
316,"Selain buat belanja, transaksi di tokped jg biasa aku gunain untuk bayar Cicilan. Fiturnya mudah, promonya juga jelas banget, entah itu Gratis ongkir ataupun cashback semuanya Real sesuai deskripsi. Gacuma heboh di iklan tapi ternyata waktu dipake banyak syaratnya, pokonya transaksi di tokped nyaman dan fun bgt!!⭐️⭐️⭐️⭐️⭐️",1
317,Mudah & nyaman,1
318,Suka banget transaksi di tokped,1
324,Mantabbbb,1
325,Gak ada yang lebih bagus dari Tokopedia pokoknya ! 🙌,1
326,Ok lah,1
327,Aplikasi sangat berguna buat mencari barang kesayangan,1
330,Aplikasinya bagus. Bikin belanja cukup dari gadget saja,1
331,Kentul keren betul,1
332,Mantap. Pembeli jelas belajar dari pengalaman pembelibsebelumnua.tranksaksi aman,1
334,ngga perlu pakai waktu lama untuk bertransaksi..,1
336,Udah gitu aja,0
341,Puas🙌,1
344,Mudah sekali penggunaan aplikasinya,1
349,pencarian barangnya banyak pilihan,1
350,"Beberap Seller sering batal jual karena barang tidak ada, padahal chat sebelum beli bilangnya teraedia",-1
352,Sangat membantu sekali dan aplikasinya sangat user friendly,1
353,Gak ribet penuh dengan segala informasi.,1
355,"Dalam hitungan 1-3 detik udah nyampe pulsanya, Alhamdulilah tokped luar biasa",1
356,"Mau belanja online atau pun bayar tagihan atau cuma buat compare harga, selalu handal, bukan handal jepit ya",1
358,Pembayaran pakai OVO rada ribet tapi akhirnya bisa. Krn OVO tidak termasuk pembayaran pilihan.,0
359,suka banyak diskon wkwk,1
362,"Pembayaran Angsuran Kredit motor lebih mudah, tidak perlu antri2 lg. Trimksh Tokopedia",1
363,Slalu puas belanja di sini,1
364,Sejauh ini toped adalah online shopping terbaik bagi saya,1
368,Mudah pakainya dan bisa mixed pembayaran...👍🏼,1
370,"Seamless transaction, cepet, reliable. Mohon awasi juga peredaran barang palsu/KW/counterfeit.",1
372,Gak perlu pusing nyari2 belanjaan dan keluar rumah..langsung di antar ke depan pintu dalam waktu beberapa jam..transaksi mudah hanya lewat transfer mobile banking..mantap 👍,1
373,Tolong terapkan KPI untuk personil tokopedia care berbasis time saat menjawab pertanyaan pelanggan agar tidak suka-suka oknum tuk menjawab atau tidak. Sukses terus Tokopedia 👍👍🙏,1
376,luar biasa,1
377,Sangat membantu bisnisku sbg penjual. sangat membantu sbg pembeli dan tolong makin dibanyakin lagi promo ke gopoints nya,1
378,Bnyak promo…jrng dipake bonus menumpuk,1
379,Ga ada yg ngalahin deh klo jual beli,1
380,"Harga Produk sangat bersaing (termasuk salah Satu Aplikasi Online yg termurah), Variasi Barang sangat banyak dan Beragam serta Fitur Pencarian sangat mudah, Banyak Program Diskon dan Voucher setiap Bulannya, Fasilitas Pembayaran juga beragam dan bisa memakai Dana yg didapat (Ovocash, Ovopoint, Gopay, Gocoin)..., dan Fasilitas Pengiriman bermacam-macam !... Ada Free Ongkos Kirim juga... Pokoknya merupakan Program Toko Online paling Favorit saat ini !!!... 👍🏻👏🏻👏🏻⭐️⭐️⭐️⭐️⭐️",1
381,Terbaik,1
382,"Niat hati pengen dapet best price beli HP untuk hafiah natal eh dapet voucher cashback gopay coin 12.12, tapi sayang itu tipu tipu, setelah selesai transaksi berhasil, cashback tidak masuk, penipuan, cs kurang responsif dan ga ada jalan keluar. Saya daftar pake akun saya sendiri sendang saya dituduh akun saya sama dengan kakak saya. Woi beda KTP woiiii. Beda HP pulaa!!!! Beda KSK juga!!!! Beda Rumah Pulaaaaa!!!!",-1
384,"Ga jelas, bikin emosi, baru pertama belanja di tokped, dibilang pake promo buat dua akun, dibilang manipulasi, padahal genting bgt pesenannya. Kecewa polll ga akan lagi lagi pesen di tokped udh bener di oren aja. Malem malem bikin darting, mana csnya lemot, udh chat jauh katanya mau dicek malah ngulang lagi ke format awal wes mboh",-1
386,"Mudah cepet.,,membantu penghasilan tambahan",1
387,Ok Mantab,1
389,Mantap. Customer service selalu memberi yg terbaik dibanding online yg lain,1
390,Nu sae na ti pusat,-1
393,Sangat membantu,1
395,banyak cashbacknya,1
396,"Lancar, sukses, dan selalu aman",1
398,Hebat,1
399,Puas banget dengan layanan tokopedia,1
403,"Pajaknya naek terus, turunin pajaknya donk buat seller ama pembeli.. biar lebih nyaman..",-1
404,Murah dan flexibel,1
406,Tokopedia makin Mantap,1
409,mantap banyak promo,1
410,Praktis namun kadangkala utk up date bbrp kali susah,-1
411,Puas sekali dengan layanan klaim garansi…musah dan cepat.,1
412,terus ditingkatkan ok brother,1
413,Alhamdulillah nambah penghasilan terimakasih tokopedia,1
416,Selalu jadi aplikasi utama,1
417,Indonesia mesti harus lebih maju terus,1
422,Pembayaran di tokped super sat set!,1
424,Makin mahal aja sekarang biaya tambahan nya setelah gabung gojek,-1
426,Toko Pedia emang top!,1
427,Terima kasih,1
428,Yuksss belanja di Topedw,1
429,Merasa nyaman menggunakan fitur bayar BPJS lwt Tokopedia. Terima kasih.,1
431,Tokped ini kenapa diskon ongkirnya jadi pelit begini huhu :(,-1
432,Aplikasi stuck di iPhone 6S plus saat masuk. iOS 13.1.3. Tolong di update. Thanks,-1
433,Mudah pemakaian aplikasi,1
435,mantap total,1
437,makasih toko pedia,1
439,"Puas pake gopay, mudah dan cepat. Gak pake repot. Pokoknya mantab pake gopay",1
442,Baik sekali,1
443,Pokoknya tokopedia paling kantep dibandi market place lainnya,1
444,Sudut meja,0
445,Suka banget belanja ditokopedia Terpercayaaa,1
448,Agar semua belanja free ongkir tanpa syarat,-1
449,Rencana mau beli babi ngepet malah beli laptop ya udah deh,1
450,Tokped adalah online store dengan ui simple dan mudah digunakan.,1
451,mantab,1
456,Terlalu banyak biaya,-1
457,aplikasi yg simple dan cepat akurat untuk berbelanja,1
461,Manteb manteb,1
463,"Tokopedia sekarang bukan yang dulu lagi, sejak ada kurir rekomendasi pengiriman semakin lama & ngawur, yang dulu antar jawa 2 hari max 3 hari sekarang sering lebih dari 4 hari, semakin gak masuk akal. Apalagi kurir anteraja yang jelas jelas busuk dari dulu masih dipakai",-1
467,Sayang TokPed masih sering lambat loading semoga bisa di perbaiki yan,-1
472,Dari semua online marketplace.. tokped yg paling terpercaya..Dari semua paling nyaman dan merasa secure belanja di Tokped..,1
473,Mudah mudahan amanah trs,1
475,Mantap betul,1
476,Kl ada masalah Tokped bisa jadi penengah antara seller dan Butet ga kaya toko oren,1
477,Sangat memudahkan customer untuk memenuhi kebutuhan apapun itu.. Terima kasih!,1
479,Proses menjadi lebih cepat dan mudah,1
480,Mantap bro,1
481,Manteb,1
482,lebih simple dalam berbelanja,1
483,Bisa dipercaya menjaga pembayaran kita Uang kembali kalau penjual tidak mengirim barangnya.. Terima kasih ya tokopedia Sukses tambah sukses..,1
484,Tokopedia terbaik di Indonesia! Follow Now Stationery untuk keperluan alat tulis kantor dan kebutuhan sekolah putra putri anda.,1
486,"Sangat lemot, isi saldo e tol kadang hang padahal lagi darurat. Lalu chat kalau ga ada sinyal ga kekirim , harusnya otomatis terkirim begitu ada koneksi sinyal, sering hang halaman toped, parah dehhh",-1
489,Kurang promo,-1
491,App terbaik,1
492,lapak terpercaya,1
494,Sangat membantu dlm berbagai hal,1
495,"Sekarang kalo pakai voucher cashback, hak bisa free ongkir. Sayang sekali",-1
496,"Semua transksaksi berjalan lancar, aman dan sangat membantu pengguna",1
498,Jual beli jd gampang,1
499,"Semakin baik, semoga tokped semakin baik untuk customer dan toko",1
500,Ongkirnya lebih hemat,1
501,Pelayanan mudah dan cepat .. Pokok ee Mantap,1
506,"Penggunaan mudah, opsi pembayaran lengkap, transaksi aman. Kurang apalagi coba",1
507,Aplikasinya sangat memudahkan.,1
508,Aplikasi nya mudah digunakan,1
509,Sangat mudah benar2 mudah,1
510,Proses Mudah dan cepat,1
511,sudah ga recomended,-1
512,Selalu beli pulsa dan pembayaran lewat tokped dan selalu dapet cashback. Thanks,1
513,"Aplikasi yang sangat membantu sekali.. semakin mudah untuk pengaplikasiannya,, 👍🏻👍🏻👍🏻👍🏻",1
514,"Sangat puas dg layanan tokopedia , sangat membantu buat yg selalu tinggal di rumah",1
515,mantap banget ye kan,1
516,Titik lokasi (pada menu alamat) meleset dari alamat sebenarnya. Driver yg mengirim menggunakan titik lokasi jadi kebingungan.,-1
517,Semoga Tokped selalu menjaga kualitasnya,1
518,Sangat membantu dan simple,1
519,Layoutnya jgn berlebihan,-1
521,banyak barang dan lengkap,1
523,"Good, sangat membantu, promonya berkurang skrg, tambahin lg promonya, ngandelin promo kecil kecilan 😁",-1
525,olshop yg saya pakai sejak awal belanja online hingga kini.. tidak pernah mengecewakan,1
526,Membantu bangat buat belanja apa saja. Sangat rekomendasi buat pengguna baru 👍👍👍,1
527,Aplikasi yang sangat membantu dalam jual beli. Top,1
530,Aplikasi yang bermanfaat dan oke.,1
533,"Apapun yg mau dibeli semua bisa di tokped...gak perlu ribet kemana mana, tinggal klik2 aja dpt apa yg dicari...bayar apapun juga melalui tokped.. Aplikasi gampang buat user... Makanya saya sebut Juara belanja Online",1
536,"Saya lelah dg banyaknya seller yg tidak bertanggung jawab dan sptnya tidak ada langkah perbaikan dan pembinaan thd seller dr pihak Tokopedia.

Melakukan kesalahan adalah hal yg wajar dan bisa dimaklumi, namun klu semua kesalahan cukup diselesaikan hanya dg permintaan maaf, seller tidak akan pernah menjadi lebih baik dan berhati2 di kemudian hari.
Ujung2nya, yg tersisa hanya kekecewaan dan rasa dongkol di hati pelanggan.",-1
537,membantu cari barang impian udh langganan silver,1
538,Pembayaran mudah dan aman.,1
540,Selalu menyenangkan berbelanja di Tokopedia,1
541,Senang sekali bisa mengunakan tokopedia versi terbaru ini,1
542,Selalu senantiasa siap memenuhi kebutuhan rumah tangga,1
543,Mudah aksesnya sangat merekomendasi untuk pengguna yang males belanja keluar,1
544,Semua mudah semua bisa semua ada,1
545,Bintang 4 soalnya saya kena block gabisa pake voucher lg,-1
546,Kualitas pelayanan yg sdh bagus agar dipertahankan dan ditingkatkan.,1
547,Pokoknya selama pandemi ini semua kebutuhan bs dibeli di toped . Makyus pokoknya,1
548,"Sudah lama menggunakan tokopedia semenjak awal launching. Sangat puas, dan dalam pusat penyelesaian selalu diselesaikan dengan adil. Review dari pembeli yang sesuai dengan bukti dan kenyataan, kalau tokonya servicenya jelek ya siap2 ga bakalan laku jual di toped",1
549,Pengiriman sangat cepat !! Kuerennn,1
550,Keren deh pokoknya,1
552,Recommended.. All u can do at here.. Tolong untuk pembayaran Samsatnya diperbanyak kerjasamanya.. khususnya utk wilayah Kaltim dan Kalsel🙏,1
554,mudah dan menyenangkan,1
555,"Selalu senang belanja di tokped, pengiriman cepat & dpt cashbacknya lebih sedikit huhu",-1
556,Transfer ke rekening kita sendiri di Tokopedia tanpa biaya alias gratis dan cepat banget prosesnya. Uang langsung masuk ke rekening.,1
559,"Terpercaya, banyakin diskonya",1
562,Lebih mudah pakai aplikasi ini karena sudah terbiasa,1
563,"Respon cepat, toped sering free ongkir, makin suka belanja deh, trims ya:)…",1
566,"time flies, biaya terus",1
567,Kasih bintang 4 dulu,1
571,Senang berbelanja di Tokped.,1
573,"Tokopedia sangat membantu untuk urusan belanja online. Mudah, banyak diskon, terpercaya.",1
574,aplikasi keren,1
575,Vendor dpt dipercaya produk dan pelayanannya.,1
577,Cukup puas selama menggunaka tokopedia dan 80% belanja online di tokopedia daripada apps lain,1
579,Memuaskan,1
580,Barang lengkap dan harga menarik,1
581,"Better ini sih, promonya ada terus di banding oren",1
582,Mudah dan cepat thanks,1
583,Lancar banget,1
584,gak pernah mengecewakan belanja disini,1
589,"Belanja jauh lebih mudah, nyaman dan tidak ribet, bagus sekali",1
591,"Seneng belanja di toped,bisa bayar pakai paylater, gratis ongkir lagi.. kurang baik apa coba nih aplikasi?? Yuk download",1
592,"Barang apa aja kayanya ada ditokopedia, harga juga banyak yg lebih murah drpd harga ditoko2 sebelah, apalagi dng adanya program bebas ongkir. mdh2an tetep mempertahankan prestasi ini. Tokopedia emang TOP..!!",1
595,"Asyek Dapat promo,,, sering2 adakan promo yaw 🥰😇🙏",1
597,Bagus banyak membantu,1
598,Suka dgn tokopedia bnyk barang bagus dan berkualitas,1
599,Cepat dan terpercaya,1
600,Mantap… tidak ada kendala…😀,1
601,"Mudah penggunaannya, engga ribed di mata, respon juga kilat.",1
603,Tiap Checkout kena biaya layanan... Kalauu truz2 an lumayaan jugaa tuu...,-1
604,Lebih bagus lgi penambahan fitur chat live. Sehingga mengetahui pelapak yg online bisa cepat dalam balas pesan,0
605,Wah isi eMoney begitu gampang dan dapat cash back lagi. Memang top deh Toped dan OVOnya. 👍👍👍,1
608,Memudahkan untuk transaksi,1
610,Aplikasi cukup bagus dan oke.,1
611,Serba ada dan dapat dicicil,1
613,"Tokoped sdh baik dan terpercaya, mohon jaga dan tingkatkan terus kualitasnya, tambahkan dg toko dan produk yg semakin kreatif serta berkualitas.",1
617,"suka banget sama aplikasi ini, sering dapet promo pulak😆",1
619,Apps yg bagus dan sangat berguna buat kebutuhan sehari2... thanks,1
620,sudah tidak bisa gratis ongkir otomatis. harus pkai voucher,-1
623,Penjualnya omong kosong,-1
624,sangat membantu dan kereen.. alhamdulilah... dapat bonus banyak🙏🙏,1
625,Pelayanan topedia sngat ok,1
627,Tokopedia membuat hidup lebih mudah,1
628,banyak nanya rating lu kaya programmer baru lulus,-1
629,Selalu puas belanja di Tokopedia,1
630,Paketannya Rapi,1
631,Aplikasi yg sangat memuaskan,1
632,Sementara bermanfaat. Terima kasih,1
633,Apalagi saat pandemi seperti sekarang,1
634,"Belanja primer, sekunder dan tersier selalu nyaman di Toped 👌🏻",1
636,"Gratis ongkirnya gak ada, tambah jasa aplikasi lah trus jasa layanan apalah itu.",-1
637,Apk membantu banget!,1
639,Suka,1
641,Sekarang biaya layanan aplikasi menjadi Rp 2rb,0
643,sampai saat ini belum pernah nemu kendala semoga seterusnya seperti ini,1
644,"Banyak cashback dan ongkir gratis, jadi suka banget belanja disini",1
645,Sangat tau kebutuhan,1
646,Ok banget,1
647,"Aplikasi yang sangat membantu, semakin dipermudah",1
651,bagus dan sangat memudahkan dalam belanja,1
652,Tidak ada pilihan login dengan akun google,0
653,"Pelayanan cepat dan memuaskan, sangat recommended",1
654,Makasih tokopedia,1
656,Memudahkan sekali,1
657,"Aplikasi keren, berguna banget",1
660,Proses cepat dan murah terbaik,1
662,Mempermudah segala urusanku,1
664,Biaya admin naik terus.,-1
665,"No. 1 shoping online, Safe and helpfull application.. thank you so much Perlu diperbaiki pembayaran masih sering mengalami kendala",-1
666,"Puas banget belanja di tokped, pencarian mudah dan moda pembayaran banyak",1
667,Banyak gratis ongkirnya,1
668,"Marketplace yang lengkap, menyenangkan dan aman..",1
669,"Saya sudah Diamond member TOKOPEDIA.. Saran saya selalu belanja di TOKOPEDIA ! Bebas masalah di Tokopedia.. Sy kena masalah di tokosebelah.. merchant penipu dibelain, Jual barang tidak sesuai description.. Komplain malah seller dibelain, jd korban deh... ga ada waktu buat lapor ribet banget.. Kita mau belanja tenang.. aman.. ya di Tokopedia.. Lancar dan cepat speednya.. sudah saya banding2kan dan yg penting aman.. Tokopedia paling mantul ..👍👍👍",1
670,Terima kasih sudah banyak membantu saya belanja selama masa PSBB,1
671,"Harga sesuai dan terjamin aman sih, pengalaman gapeenah telat kirim2 paket",1
673,Tak Pernah berpaling dari tokopedia,1
674,"Apps ini memiliki fitur lengkap, mudah dimengerti dan tersambung dengan apps kurir lainnya yg membantu pembeli dan penjual.",1
675,"Mudah, cepat dan Aman",1
676,"Pemesan, pembayaran, pengiriman semua serba mudah",1
681,"Apps bagoes, aman bila ada masalah komplain sebagai pembeli ataupun penjual. Kurang puas promonya mesti dicermati kadang malah bayar lebih, seperti yg dipaksa daftar cicilan untuk dapat discount dihitung malah boncos mending ga pakai promonya.",-1
683,Banyak bonusnya utk bayar tagihan bulanan,1
684,Semoga tokopedia pelayanannya lebih baik lagi,1
685,Aplikasi yg menarik dan bagus....perlu dipertahankan bahkan di tingkatkan,1
686,"Pajaknya 1% lebih dari total harga, agak memberatkan",-1
687,Baguslah pokoknya liat aja daftar belanja sy. Hrsnya sy dikasih merchsndise,1
688,sangat bermanfaat,1
690,Semenjak gabung GOTO bikin saham IPO tokopedia gak jelas banget kasih naikin harga segala udah kena tarif jadi kangen jaman dulu masih banyak bebas ongkir dapat cashback terus gak kena biaya jasa apalah itu. Mending pisah perusahaan aja lah berdiri sendiri daripada gabung malah jadi nyusahin gini skrg,-1
691,"banyak keuntungan belanja di tokopedia seperti cash back, tracking belanjanya bisa di cek mulai dari transfer sampai ke pembeli.",1
692,Tokopedia banyak pilihan reliable,1
693,belanja sangat dimudahkan 👍,1
694,Mudah n simple,1
696,"Fitur2 nya OK dan memuaskan, thankyou Tokopedia",1
698,"Proses prosedur pembelian yg jelas, app yg mudah dipakai",1
699,Udah lah bagus banget,1
702,"Terus terus an minta pin sambil gak bisa swipe right. Maksa banget harus buat PIN. Maksanya OK, cm jelek nya gak ada swipe right.",-1
704,Aplikasi ngga ribet. Tahapan proses jelas Aman terpercaya. Ngga khawatir kalo beli barang,1
705,Mudah dan banyak bonus,1
707,Selalu yg terbaik,1
709,Fitur & layanan yg lengkap. So helpful,1
710,Selama ini lancar jaya...,1
712,Asyik banget pakai tokopedia,1
713,"Tokopedia favoritku sejak dulu. Harga ok, layanan ok. Top",1
714,Sebenarnya klo mau pake jasa expres same day suka banget sm aplikasi ini. Hanya saja untuk mencari barangnya agak kurang variasi dan harga.,-1
715,Sangat membantu untuk E-Money,1
717,promo jarang kepake😅,-1
718,Sangat bagus dan bermanfaat,1
719,"Agak bingung sih,, tapi di coba aja",1
721,terbaik se-Indonesia 👍,1
722,Cepat dan gampang,1
723,Aku sih penganut gojek tokped garis keras 🙏,1
724,Tokopedia Proses Mudah dan Cepat,1
725,Mudah dan cepat,1
726,bagus samgat membantu,1
727,Semakin baik dalam banyak hal,1
728,Sangat membantu untuk proses belanja dan pembayaran tagihan bulanan. Terimakasih tokopedia!!,1
730,Aplikasi andalan,1
731,Banyak pilihan dan selalu ada. Memberikan yang termurah. Sangat memuaskan. Thx TOPED,1
732,Urusan aman dan terpercaya,1
733,"Dulu suka sama tokped karena gak ada fee ina itu. Tapi makin ke sini, tiba tiba makin banyak fee tambahan, dan bahkan gratis ongkir somehow kadang gak ada. Jadi belanja mahal di biaya ina itunya.",-1
734,Gak pernah kecewa belanja dsini,1
736,belanja olshop via tokopedia menurut saya sangat aman dan nyaman. tapi kita sebagai buyer juga harus smart dalam memilih produk. sukses selalu tokopedia!,1
738,"Mau apa aja , ada",1
740,Terbaiklah pokona mah 👍👍👍👍👍,1
741,"Service charge pembayaran dengan gopay sekarang semakin mahal, 2000 per transaksi. Naik terus naik terus 😩",-1
743,Kebetulan dapet dr Bandung sesuai kebutuhan 😃😃😃,0
744,"Packing rapi, pengiriman cepat, barang ok",1
745,Aplikasi yg sangat bagus belanja bikin senang harga terjangkau👍👍👍,1
746,Mgkin karna aku biasa pke shop** yg ini agak belibet cuman oke aja sih,-1
748,Terbaikkkkk,1
749,"Transaksi lancar. Cepat , mudah",1
750,Semoga semakin sering cashback nya 😆,1
753,"Very convinient, beli apa aja ada dgn harga dan kualitas yg bagus 😁😁",1
754,Sejauh ini aman aman aja ga ada kesalahan dan belum pernah complain :) thanks tokped,1
755,"Seakrang cash backnya dikit Biaya admin mihil Hiks
Ada biaya aplikasi juga 🥲",-1
757,Sangat aman dan mudah bertransaksi di tokopedia,1
760,"Thank you Tokopedia untuk segala kemudahannya, keep up the good work!",1
761,"Pelayanan tokopedia sangat bagus, banyak promonya juga",1
763,Cepat dan akurat,1
768,"Sangat Mudah, Cepat, Profesional Penanganan Komplain : 👍🏻👍🏻👍🏻👍🏻👍🏻",1
769,"Mudah digunakan, respon cepat, and cepat dalam memuat. Sebenarnya pop-up klaim voucher sedikit mengganggu",-1
772,Super 👍🏽,1
773,buka app cepat,1
774,Selalu pakai tokped kl belanja online krn banyak seller yg terpercaya wlw masih ada bbrp jg yg lolos verifikasi pdhal lokasi penjual nya ga bener/ga sesuai,-1
775,"Paling lancar, pilihan banyak banget, aplikasi sangat enak dipakai, website nya juga enak dipakai, cara pembayaran buanyak! Jarang ke toko lain. Best!",1
777,Tokped mantab,1
781,Sangat membantu dalam berbelanja,1
782,UI Appnya cantik untuk ipad 5 mini 👍,1
