,content,sentiment
464,"Gimana? Udah keliatan kan aslinya kapitalisnya? Gila sekali cek out barang bayar 3rb sendiri nglebihin jasa parkir, batalin aja deh aturan itu atau lama2 pada pindah toko sebelah, terlalu kapitalis",1
362,"Pengiriman lama bngt kecwa,toko nya jga gak pada respon",1
468,toko pedia gak ada chasbacknya. semenjak gopay punya aplikasi sendiri. males les jadi nya beli di apk oren,1
935,"sepertinya akan kembali k shopee klo bgni, gratis ongkir tdk sprti dulu,..",1
428,"Tambah lemot, padahal internet ok buat buka aplikasi lain",1
7,terimakasih promonya.,0
155,"Makin kesini makin parah, di tambah biaya aplikasi 2rb dan biaya layanan 1rb mending aplikasi sebelah gratis biaya aplikasi, udh lama pakai tokped tpi lama kelamaan mengecewakan parah 👎👎👎👎👎",1
541,sangat membantu,0
440,bagus sangat membantu,0
482,Dengan alasan apapun serius ini aplikasi merchant pesanan saya sekeluarga di batalkan semua serentak . Alesanya melanggar ketentuan pemanfaatan voucher untuk akun baru wkwkwkwkw . Padahal saya ngajak keluarga make bertujuan untuk lebih mempermudah membeli . Alamat kita satu rumah masa iya harus berbeda tempat . Fix gak akan saya pakai lagi merchant mu,1
422,"udh ga like, kebanyakan ga bisa cod hdeh",1
778,"terpercaya, dan nyaman",0
949,"Saatnya mendua ke Shopee 😌. Gratis ongkir 20K nya hanya dalam kota, selamat tinggal loyalitas.",1
334,Pekerja tokopedia isinya para kadrun sampai mitra logistik juga para kadrun mereka bekerja semaunya Mereka sangat membenci singapura pemilik tokopedia Saham tokopedia anjlok Sengaja tidak dibuat sesimpel lazada Harus pakai 2 nomor untuk dapat promo Tak perlu diperbaiki baik mitra kargo isinya ya para kadrun mereka bekerja semaunya,1
576,Tokopedia sekarang makin jelek biaya ongkir katanya 40rb ketika di checkout malah cuma 20rb mana biaya layanannya banyak banget.,1
934,sangat membantu,0
567,Sekarang g bisa pakai saldo Tokopedia buat belanja 🤦‍♂️🙃,1
594,Apaan si ini aplikasi zonk bnget.. bayar kredit card gagal udh nunggu 4 hari ternyata dana nya dikembalikan ke dana tokped tanpa ada notif.. alah jadi kena bunga kan.. zonk parah galagi lagi make ini aplikasi 💨,1
530,"Kok notifikasi chat seller tidak muncul ya, saya sudah coba login di beberapa smartphoe beda merk tetap sama. Sehingga saya jadi telat mulu balas chat pembeli. Mohon diperbaiki bug nya tim Tokped.. Trims",1
581,transaksi pembayaran cepat,0
707,"kalo bisa hapus saja pengiriman gratis ongkir sicepat! gratis ongkir tapi dikasi sicepat halu, lelet kek siput 🤬",1
448,"Kurir rekomendasi yg tidak bisa dilacak, sampe komplain dan jadi nya cancel karena batang tidak sampe, uang nyangkut di system mau beli lagi nungu yg g jelas, sy pelanggan lama tokped, ada tambahan biaya aplaksi ada biaya harus nya ada effort karena kita bayar biaya aplikasi, aktual nya eror aplikasi nya, auto ganti ke ke SHOPEE / LAZADA",1
453,Kamu yang dulu bukan kamu yang sekarang,2
228,Saya hanya memberikan bintang satu.. Seharusnya tidak sama sekali.. Dikarenakan gegara toktodpedia data saya malah bocor. Banyak no wa atau pesan biasa yang masuk tanpa dikenal.. Terimakasih,1
352,"Aplikasi sangat merugikan,, saya cekout udah di transfer eh malah mendadak di batalkan, dan gobloknya di aplikasi ini itu ya uangnya tidak bisa di tarik dan harus menunggu beberapa hari ,,,kan sangat merugikan,nyesel udah instal aplikasi ini mending aplikasi yang di sebelah dah hufttt pengalaman paling burukkkkkkkk mana pengembalian nya tidak sesuai waktu transfer lagi di kuranginnnn",1
728,mantaf,0
212,"Kecewa sama tokopedia, udah pembayaran CC mahal, Cashback yg dijanjikan tidak kunjung tiba, awal invoice ada jumlah cashback yg akan dj dapat, setelah barang sampai, cashback di invoice hilang, dan tidak kunjung masuk ke akun gopay cashbacknya, PAYAH, KECEWA SEBAGAI PELANG TOKOPEDIA",1
79,sangat membantu dan dimudahkan dlam berbelanja. semoga kedepan bunganya bisa lebih dikit. hehe,0
148,sangat membantu,0
302,Cara bayar COD gimana sih ribet amat,1
628,Ko sekarang ga bisa pencet tombol keluar y,1
777,Masih banyak yang harus diperbaiki,2
506,Kayanya harus mulai beralih ke aplikasi lain.. kurirnya lambat banget apalagi kurir rekomendasi...,1
342,"Koq,sekarang Aplikasinya sering Update",2
485,"promo dgn stok terbatas , mending jgn dehh. kagak kebagian bikin kecewa.",1
711,Cukup baik,0
133,"yang masih sampah itu layanan Customer service, tanggapan resolusi lama, banding butuh waktu lama karena pihak Tokopedia slow respon. kasihan seller atau buyer rejeki nya terhenti gara2 kelakuan CS nya. biaya potongan power merchant jadi ugal2an terutama barang elektronik. edan!",1
703,ok lah,2
311,Gk jelas dan merugikan.udh top up gopay buat blnja.akhir nya uang trtahan di gopay.krna transaksi di batalkan sepihak,1
722,Cukup membantu,0
629,Tokopedia tolong dong diperbaiki lagi saya mau narik saldo ke rekening gabisa grgr harus masukin pin sdngkn saya lupa pin nya trs minta verifikasi SMS tp no nya udh ga aktif jdi saldo nya gabisa ditarik tolong ya jgn dipersulit gausah lah pake masukin pin segala diperbaiki biar mempermudah jgn dipersulit gini saldo saya jdi ngga bisa di tarik kann,1
0,"Meresahkan. Iya sih promonya menarik, tapi kurirnya ga bertanggung jawab semua. Udah 3x beli ditokopedia pengirimannya sangat lama bahkan ga sampai. Bayangin aja beli sameday datengnya 4 hari kemudian, kurir sicepat dan anter aja yang ga mau anter paket sampe rumah. Maunya didepan gang aja, pdhl kurir lain dtg sampe rumah. Next tolong tokped bikin opsi ubah kurir kayak shopee. Jujur kesel aja zonk mulu beli disini, mana refund uangnya lama bgt hampir 3 hari.",1
316,Dengan adanyaToped sangat membantu 👍👍👍,0
706,"payah,pengirimannya paling lama",1
547,"Kenapa makin lama promonya makin dikit sih!!! terus lambat respon aplikasinya, tolong kembalikan TOKOPEDIA seperti dulu...",1
872,sudah lama pakai tokped sangat bagus tapi blkgan sering dapatnya kurir sicepat halu ( lelet bsnget dan merusak kecintaan ke tokped),1
532,Makin hari makin berkurang promosinya...terlebih sejak gabung GoTo... 1. Ada biaya admin dr 1000 jdi 2000 2. Hadiah tap2 kotak dari Rp. 10 jdi Rp. 1 3. Tidak ada lgi tetas telur yg berhadiah coins 4. Bebas ongkir min 20rb tidak ada di WIB 5. Setiap cekout tdk lgi ditawarkan tabung emas untuk menggenapkan. Terimakasih,1
477,Baru mau nyuba aplikasi ini kalau bagus belanja di sini saya tambah bintang nya,0
404,"Skarang gratis ongkir di tokped cuma bisa 3x dan itupun dikurangin jadi 20rb aja, kecewa banget",1
172,Kenapa gak bisa buka toko pedia,1
125,update susah,1
394,cepat dan akurat .... bravo sukses selalu,0
420,"Kenpa tidak ada nomo unutuk menghubungi CS... Saya mengalmi kesulitan untuk pengembalian uang saya... Barangnya sudah saya bayar lunas, tapi barang tidak di kirimkan malah di cancel pengiriman tapi status barang sudah selesai dikirim,.... Aplikasi apa ini!!! CS pesannya lemot kerjanya, udah dua berjam"" saya tunggu untuk komplain hany bilang masih di cek!!! . Parah nih aplikasi sumpah . Padahal saya ber investasi ke SAHAM GOTO kalian...!!!",1
552,mantap berhasil,0
903,"Suruh update, giliran mau update gak bisa, aneh",2
90,"Aplikasi tokped saya bermasalah , lalu di instal ulang , dan saya sudah melakukan pembayaran tokopedia card sebelumnya, kenapa instalment baru semua transaksi recordnya hilang, seakan saya blm lakukan payment coba hub CFs ga bisa, coba di handling masalah seperti ini segera itu bukan uang sedikit loh",1
939,saya daftarnya sangat susah sekali😡😡,1
181,tetap jaga reputasi... Terima kasih ...,0
274,Normal. Banyak bug. Notifikasi ga bisa dihapus.,2
895,"Tidak bisa pickup barang retur, padahal dulu bisa, gak konsisten. Sangat mengecewakan",1
69,Promo nya gak sesuai,1
291,aku terbantu banget makasih loh,0
131,"Bagus, sdh mulai terbiasa dgn interface aplikasinya, hanya saja sering mengalami kegagalan saat pembaharuan.",2
300,bagus dan cepat prosesnya,0
424,"Gabisa pake aplikasi versi sebelumnya,,harus selalu update ,,ribett👎",1
326,"Belum pernah ngrasain rp 0""- dari toped, biaya tambahan penanganan banyak sekali, percuma barang murah selisih 1-5rb tp hasil akhir malaj cenderung lebih mahal.",1
144,belum lama pake tokopedia udah mengecewakan... cs robot semua...masalah tidak selesai... ketipu ongkir berbayar sameday dan next day.... aktual sampe ttep kaya regular... penipuan kelas kakap ini,1
423,Lambat dan menjadi ribet,1
580,Sudah ada biaya layanan 1.000 ditambahin biaya jasa aplikasi 2.000 total 3.000,1
135,Gratis ongkir aneh +tambahan jasa2 lainnya Cape deh Tak pinda k toko sebelah,1
450,Banyak centang centang males wkwkw,2
164,mantap dah. besto friendto,0
28,"Adminnya tidak kompeten tidak melayani dan memberi solusi ketika kami komplain, toped sudah tidak seperti dulu, beralih ke yang lain dlu, toped mengecewakan",1
773,"Pengirimanya lambat sekali,ongkir instannya mahal bgiiit",1
193,"Udah berlangganan plus tapi masih saja kena biaya jasa aplikasi tiap transaksi, pengiriman juga tambah lama ja sekarang, jadi kaya percuma gak ada untungnya berlangganan plus tetap mahal karena ada biaya tambahan yang lain lain lagi.",1
388,Belanja 20rb gratis ongkirnya g' pernah berlaku lagi. 😏 Harus di atas 50rb.. Kalu di shoppe ttp Ada gratis ongkirnya walaupun belaja di bawah 50rb.,1
852,Mau mesen tiket kreta menguras emosi tolong dibenerin dong aplikasi nya,1
169,"Tiap ada udpate apk gk bisa dibuka. Updatenya pemaksaan ini ,,h h h h h",1
705,Lihat foto di review lemot nya buseeeeet padahal wifi 100 mbps,1
140,Punya saya updatenya gagal trus,1
173,lebih mudah bisa ngasih tip ke driver lewat app ini... sukses selalu goto...,0
6,sangat membatu terima kasih Tokopedia 🙏🙏,0
745,Kurang,1
478,Mantap,0
73,"pembayaran lancar, ga ribet lg bolak balik atm..moga bs ttp lancar.",0
910,"Gilaaaa. Admin toped makin mahal 3000 per transaksi. Lbh sadis dri transfr beda bank. Dlu 6500 skrg 2500. Balik lagi dah ke si oren,Sopi. Hati2 ped, bangkrut sprt jd.id",1
813,Seharusnya orderan yg menggunakan jasa kurir instan itu di prioritaskan. Jangan di samakan dgn reguler. Kita bayar biaya orgkirnya saja sudah jelas berbeda.,2
238,Mohon segera di perbaiki.,2
145,Sangat aneh dan konyol hampir tiap bulan aplikasi dimintai update sementara kualitas aplikasi tidak ada perubahan. Pemodohan!!!,1
792,"Semoga aplikasi tidak berat, dan benar"" bisa di jadikan sahabat penjemput rupiah",1
234,Makin kesini makin mahal.Sekarang dibebani Biaya Aplikasi & biaya layanan belum lagi biaya bayar via retail.🤦🤦🤦,1
220,Semenjak tidak adanya gratis ongkir minimal belanja 10rb & 20rb jadi males belanja ditambah lagi ada jasa aplikasi 2rb tiap check out.,1
923,Biaya transaksi Rp.2000 cukup besar Tolong turunkan jadi Rp.1000 saja! Tq.,1
500,sangat membantu sekali,0
132,Tokopedia harus nya lebih care pada toko toko yang lama pengiriman.... Semua pasti yg dirugikan konsumen. Andelannya pengembalian dana. Yg dikembalikan harga barang. Ongkir dan biaya layanan entah kmn,1
990,Mantap,0
774,Jasa aplikasi dikasih biaya 2000 padahal kemarin masih 1000 Ya udah gak jadi beli.mending cari ecomerce lain yg gak ada biaya gak jelas begini bye bye toped,1
185,"Tiap cek out nambah 3000,- biaya..biaya.. Tambah joss ae ped ped",1
41,Mantap...,0
696,kebanyakan notifikasi. spam. pdahal saya cuma cari sesuatu aja atau utk cek harga. tp begitu keluar apk dan sdh ga di gunakan muncul notif terus menawarkan barang. memang bagus sih. bagian dr marketing tp terlalu banyak. terpaksa saya non aktifkan notif. bintang 3 saja.,1
108,Mantap,0
588,aplikasi sangat membantu dan bagus,0
56,Membantu cukup banyak transaksi yg bisa di lakukan,0
405,"Gw kasih bintang 1 biar kapok masa gratis ongkir nya sekarang min belanja 50 ribu Mulu , ada min 20rb tapi barang tertentu gak kyk dulu",1
442,penipuan,1
757,konfirmasinya lama bgt,1
997,Makin kesini gratis ongkir makin terbatas. Padahal sudah member gold. Aduuuuu,1
24,"hemat gak ribet praktis,kadang kadang sebel gak pas dihatiiiiiiiii......",2
467,"Biaya aplikasi 1000, biaya jasa layanan 2000 wkwkwk lebih mahal dari sopi coyyyyy",1
539,"Aplikasinya bagus ,,tp biaya penanganan serta biaya ongkir lebih mahal dri pada harga barang,, pengirimannya juga sangat lama,,kemudian brangan yang sampai tidak sesuai dengan ekspektasi,,",1
531,mudah cara bertransaksi produk yg dijual topid sebagian besar produk ori dan banyak diskon,0
618,Parah Tokopedia sekarang kena biaya aplikasi dan biaya layanan . Auto UNINSTALL TOKOPEDIA. BYE 👋,1
694,Aplikasi gak jelas gopatner saya jadi anyep padahal saya sering banget pakai toko pedia,1
926,Woooy kira2 lu biaya layanan nya sampe 4.500.. kalo ada bintang 0 gua kasih 0 aja !!!!! KamVret emg,1
338,"Pengen belanja ditokopedia lagi tapi sekarang ada biaya jasa aplikasi segala lah udh ada biaya layanan juga gk jd murah dehh ,meskipun dikasi vcr diskon dr toko agak kecewa sih",1
51,"secara keseluruhan oke, tp harus update2 :(",2
507,Coba kalau ndak update terus bisa gak sih,2
516,Katanya ada promo gratis ongkir tp gak bisa d pakai.... Parahhh👎,1
920,Memang beda kelas tokopedia dengan shopee Dari segi harga saja jauh lebih murah shopee. padahal kualitas barang sama kadang lebih berkualitas shopee. Entah apa yg membuat tokopedia mahal,2
781,"Barang yang sold out mash di pajang n ketika kita chat pd seller,seller katakan barang redy silakan diorder tapi ketika sdh ditransfer tak kunjung diproses. Tapi jika soal pengembalian dana cepat di respon. Orang dibelakang layar Tokopedia memang masih ju2r, ma ksh toped",1
264,terimakasih atas layanan yg sangat cepat,0
817,Beli banyak ato sedikit bayar 3 rb wooww keren,0
710,Mw pembayaran kenapa loading lama bangetttt,1
682,"Katanya 1k tapi 20k cuakss,juga buat aku malu katanya 1k ternyata 20k lebih maksimal nya, mending di uninstall aja huuuuuuu",1
832,"alhamdulillah selama pemakaian tokopedia belanja online bisa lbh efisien ,aman. dn mudah dn pastinya ada promo2 ongkir ny pula",0
518,sangat membantu dalam pembelian dan memuaskan berbelanja di sini.,0
447,"saya baru pertama kali menggunakan tokopedia, sangat mudah dan bayak toko reseller nya.",0
18,"Dulu suka belanja di toped full gratis ongkir, lama2 bisa tinggalkan toped padahal mambernya udah mau silver",2
715,mantap cepat,0
483,"makasih ya tokopediaa.. ternyata sekarang banyak yang murah, maju terusss oke! (Ini komen 2022) (Ini komen 2023, makin maju ternyata👏👏) Tokped tengkyuuu udah ngadain gofood di apk nyaa, jadi hemat ruang deeeh💚, toko pedia the besttt😍",0
568,Geratisan ongkir dan potongan setiap transaksi nya tingkat kan lagi donkk,0
433,knp yaa limit bayar by virtual account cuma 30 menit? sebelumnya lebih parah lagi belanja cuma 5 jtan dikasih limit bayar cuma 5 menit. anehhhh.. gmna mau bayarnya jika dilakukan pakai cash management perusahaan kan butuh waktu untuk proses rilis,1
367,Pengen Tokopedia seperti dulu lagi Banyak promo nya dan kuota bebas ongkir nya tidak termasuk dalam promo belanja. Bebas ongkir dan promo terpisah Tokopedia saya sudah satu tahun di nonaktifkan cod. Sampai sekarang COD nya masih belum bisa digunakan 😔,1
83,ongkirnya lbh mahal dr barang yg dibeli utk luar pulau. padahal tpt lain lbh murah,1
61,"Tidak bisa diupdate,udah diulang beberapa kalipun ga bisa.",1
638,"Ok transaksi nya mudah, tapi estimasi barang di terima terlalu lama sampai seminggu lebih, padahal sudah pakai reguler, jadi kalok mau belanja di tokopedia saya akan berfikir lagi 1000 kali..",1
272,"Pengirimannya nga seperti dulu lamban males mending pakai aplikasi lain,estimasi terlalu lama",1
285,"Tokopedia sekrng udah pelit voucer,udh mls memakai tokped,",1
360,pelayanannya bagus sekali dlm penukaran dana,0
354,Ubah...sekarang dipaksa bayar proteksi produck,1
456,semoga tokopedia semakin jaya maju dalam pelayanan,0
278,Mahal bgt biaya adminnya ampe 3rb pertransaksi. Belum lg gratis ongkir cuman satu toko aja pertransaksi. Hadeuhhhhh,1
12,"Pelayanan cepat, tepat, dan terarah.",0
182,"Sekarang transaksi di Tokopedia jadi ada biaya transaksinya. Ditambah voucher ongkir dan cashback tidak dapat di pake bersamaan. Makin kesini makin mengecewakan. Ditambah pihak ekspedisi yang buruk, dari barang hilang, barang belum sampe tapi dibilang sudah diterima pembeli, dan yang paling sering pengiriman lambat. Dan sekarang ada tambahan lagi, jasa aplikasi... Wow makin kesini bener2 makin parah.",1
368,"Dear tokopedia ,saya cari rokok keluarnya gelang,cari rokok lg keluarnya alat sex,kenapa......ini toko apa",1
881,Koneksi bermasalah trs😅😅 PAdahal jaringan aman,1
615,"Sekarang kebijakan Gratis Ongkir Tokped gak kayak dulu ih, makin pelit :( kalo sekarang potongannya cuma 20 ribu baik antar kota maupun antar pulau, padahal dulu kalo antar pulau potongannya sampe 40 ribu. Bahkan yg toko Dilayani Tokopedia pun yg katanya potongan bisa maksimal 60 ribu tapi tetap aja potongannya cuma dapet 20 ribu, ga peduli seberapa banyak belanjanya. Kesannya jadi ga bisa milih promo ongkir yg mau dipakai. Jadi males belanja di Tokped kalo kayak gini :(",1
